,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,BRM Taylor,H Masakadza,Mashrafe Mortaza,0,1,noballs ,1,0,null,null
1,0.2,BRM Taylor,H Masakadza,Mashrafe Mortaza,0,0,null,0,1,BRM Taylor,run out
2,0.3,KM Dabengwa,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
3,0.4,KM Dabengwa,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
4,0.5,KM Dabengwa,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
5,0.6,KM Dabengwa,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
6,0.7,KM Dabengwa,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
7,1.1,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
8,1.2,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
9,1.3,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
10,1.4,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
11,1.5,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
12,1.6,H Masakadza,KM Dabengwa,Shafiul Islam,1,0,null,1,0,null,null
13,2.1,H Masakadza,KM Dabengwa,Mashrafe Mortaza,0,0,null,0,0,null,null
14,2.2,H Masakadza,KM Dabengwa,Mashrafe Mortaza,1,0,null,1,0,null,null
15,2.3,KM Dabengwa,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
16,2.4,KM Dabengwa,H Masakadza,Mashrafe Mortaza,2,0,null,2,0,null,null
17,2.5,KM Dabengwa,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
18,2.6,KM Dabengwa,H Masakadza,Mashrafe Mortaza,1,0,null,1,0,null,null
19,3.1,KM Dabengwa,H Masakadza,Shafiul Islam,0,0,null,0,0,null,null
20,3.2,KM Dabengwa,H Masakadza,Shafiul Islam,0,0,null,0,0,null,null
21,3.3,KM Dabengwa,H Masakadza,Shafiul Islam,0,0,null,0,0,null,null
22,3.4,KM Dabengwa,H Masakadza,Shafiul Islam,0,0,null,0,0,null,null
23,3.5,KM Dabengwa,H Masakadza,Shafiul Islam,0,0,null,0,0,null,null
24,3.6,KM Dabengwa,H Masakadza,Shafiul Islam,0,0,null,0,0,null,null
25,4.1,H Masakadza,KM Dabengwa,Mashrafe Mortaza,3,0,null,3,0,null,null
26,4.2,KM Dabengwa,H Masakadza,Mashrafe Mortaza,1,0,null,1,0,null,null
27,4.3,H Masakadza,KM Dabengwa,Mashrafe Mortaza,0,0,null,0,0,null,null
28,4.4,H Masakadza,KM Dabengwa,Mashrafe Mortaza,0,0,null,0,0,null,null
29,4.5,H Masakadza,KM Dabengwa,Mashrafe Mortaza,0,0,null,0,0,null,null
30,4.6,H Masakadza,KM Dabengwa,Mashrafe Mortaza,0,0,null,0,0,null,null
31,5.1,KM Dabengwa,H Masakadza,Shafiul Islam,1,0,null,1,0,null,null
32,5.2,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
33,5.3,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
34,5.4,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
35,5.5,H Masakadza,KM Dabengwa,Shafiul Islam,0,0,null,0,0,null,null
36,5.6,H Masakadza,KM Dabengwa,Shafiul Islam,1,0,null,1,0,null,null
37,6.1,H Masakadza,KM Dabengwa,Mashrafe Mortaza,0,0,null,0,0,null,null
