,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AK Markram,HM Amla,SN Thakur,0,0,null,0,0,null,null
1,0.2,AK Markram,HM Amla,SN Thakur,4,0,null,4,0,null,null
2,0.3,AK Markram,HM Amla,SN Thakur,4,0,null,4,0,null,null
3,0.4,AK Markram,HM Amla,SN Thakur,0,0,null,0,0,null,null
4,0.5,AK Markram,HM Amla,SN Thakur,0,0,null,0,0,null,null
5,0.6,AK Markram,HM Amla,SN Thakur,0,0,null,0,0,null,null
6,1.1,HM Amla,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
7,1.2,HM Amla,AK Markram,JJ Bumrah,1,0,null,1,0,null,null
8,1.3,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
9,1.4,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
10,1.5,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
11,1.6,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
12,2.1,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
13,2.2,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
14,2.3,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
15,2.4,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
16,2.5,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
17,2.6,HM Amla,AK Markram,SN Thakur,4,0,null,4,0,null,null
18,3.1,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
19,3.2,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
20,3.3,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
21,3.4,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
22,3.5,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
23,3.6,AK Markram,HM Amla,JJ Bumrah,0,0,null,0,0,null,null
24,4.1,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
25,4.2,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
26,4.3,HM Amla,AK Markram,SN Thakur,0,0,null,0,0,null,null
27,4.4,HM Amla,AK Markram,SN Thakur,1,0,null,1,0,null,null
28,4.5,AK Markram,HM Amla,SN Thakur,4,0,null,4,0,null,null
29,4.6,AK Markram,HM Amla,SN Thakur,0,0,null,0,0,null,null
30,5.1,HM Amla,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
31,5.2,HM Amla,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
32,5.3,HM Amla,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
33,5.4,HM Amla,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
34,5.5,HM Amla,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
35,5.6,HM Amla,AK Markram,JJ Bumrah,4,0,null,4,0,null,null
36,6.1,AK Markram,HM Amla,SN Thakur,0,0,null,0,0,null,null
37,6.2,AK Markram,HM Amla,SN Thakur,1,0,null,1,0,null,null
38,6.3,HM Amla,AK Markram,SN Thakur,0,0,null,0,1,HM Amla,caught
39,6.4,AB de Villiers,AK Markram,SN Thakur,0,1,wides ,1,0,null,null
40,6.5,AB de Villiers,AK Markram,SN Thakur,0,0,null,0,0,null,null
41,6.6,AB de Villiers,AK Markram,SN Thakur,1,0,null,1,0,null,null
42,6.7,AK Markram,AB de Villiers,SN Thakur,2,0,null,2,0,null,null
43,7.1,AB de Villiers,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
44,7.2,AB de Villiers,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
45,7.3,AB de Villiers,AK Markram,JJ Bumrah,4,0,null,4,0,null,null
46,7.4,AB de Villiers,AK Markram,JJ Bumrah,1,0,null,1,0,null,null
47,7.5,AK Markram,AB de Villiers,JJ Bumrah,1,0,null,1,0,null,null
48,7.6,AB de Villiers,AK Markram,JJ Bumrah,0,0,null,0,0,null,null
49,8.1,AK Markram,AB de Villiers,HH Pandya,0,0,null,0,0,null,null
50,8.2,AK Markram,AB de Villiers,HH Pandya,1,0,null,1,0,null,null
51,8.3,AB de Villiers,AK Markram,HH Pandya,0,0,null,0,0,null,null
52,8.4,AB de Villiers,AK Markram,HH Pandya,1,0,null,1,0,null,null
53,8.5,AK Markram,AB de Villiers,HH Pandya,1,0,null,1,0,null,null
54,8.6,AB de Villiers,AK Markram,HH Pandya,0,0,null,0,0,null,null
55,9.1,AK Markram,AB de Villiers,SN Thakur,0,1,wides ,1,0,null,null
56,9.2,AK Markram,AB de Villiers,SN Thakur,6,0,null,6,0,null,null
57,9.3,AK Markram,AB de Villiers,SN Thakur,0,0,null,0,0,null,null
58,9.4,AK Markram,AB de Villiers,SN Thakur,0,0,null,0,0,null,null
59,9.5,AK Markram,AB de Villiers,SN Thakur,0,0,null,0,0,null,null
60,9.6,AK Markram,AB de Villiers,SN Thakur,0,0,null,0,1,AK Markram,caught
61,9.7,K Zondo,AB de Villiers,SN Thakur,1,0,null,1,0,null,null
62,10.1,K Zondo,AB de Villiers,HH Pandya,0,0,null,0,0,null,null
63,10.2,K Zondo,AB de Villiers,HH Pandya,0,0,null,0,0,null,null
64,10.3,K Zondo,AB de Villiers,HH Pandya,0,0,null,0,0,null,null
65,10.4,K Zondo,AB de Villiers,HH Pandya,0,0,null,0,0,null,null
66,10.5,K Zondo,AB de Villiers,HH Pandya,1,0,null,1,0,null,null
67,10.6,AB de Villiers,K Zondo,HH Pandya,0,0,null,0,0,null,null
68,11.1,K Zondo,AB de Villiers,Kuldeep Yadav,1,0,null,1,0,null,null
69,11.2,AB de Villiers,K Zondo,Kuldeep Yadav,0,0,null,0,0,null,null
70,11.3,AB de Villiers,K Zondo,Kuldeep Yadav,1,0,null,1,0,null,null
71,11.4,K Zondo,AB de Villiers,Kuldeep Yadav,0,0,null,0,0,null,null
72,11.5,K Zondo,AB de Villiers,Kuldeep Yadav,1,0,null,1,0,null,null
73,11.6,AB de Villiers,K Zondo,Kuldeep Yadav,1,0,null,1,0,null,null
74,12.1,AB de Villiers,K Zondo,HH Pandya,1,0,null,1,0,null,null
75,12.2,K Zondo,AB de Villiers,HH Pandya,4,0,null,4,0,null,null
76,12.3,K Zondo,AB de Villiers,HH Pandya,0,0,null,0,0,null,null
77,12.4,K Zondo,AB de Villiers,HH Pandya,0,0,null,0,0,null,null
78,12.5,K Zondo,AB de Villiers,HH Pandya,1,0,null,1,0,null,null
79,12.6,AB de Villiers,K Zondo,HH Pandya,0,0,null,0,0,null,null
80,13.1,K Zondo,AB de Villiers,Kuldeep Yadav,0,0,null,0,0,null,null
81,13.2,K Zondo,AB de Villiers,Kuldeep Yadav,0,0,null,0,0,null,null
82,13.3,K Zondo,AB de Villiers,Kuldeep Yadav,0,0,null,0,0,null,null
83,13.4,K Zondo,AB de Villiers,Kuldeep Yadav,1,0,null,1,0,null,null
84,13.5,AB de Villiers,K Zondo,Kuldeep Yadav,0,0,null,0,0,null,null
85,13.6,AB de Villiers,K Zondo,Kuldeep Yadav,0,0,null,0,0,null,null
86,14.1,K Zondo,AB de Villiers,HH Pandya,1,0,null,1,0,null,null
87,14.2,AB de Villiers,K Zondo,HH Pandya,0,0,null,0,0,null,null
