,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JJ Roy,JM Bairstow,Junaid Khan,0,0,null,0,0,null,null
1,0.2,JJ Roy,JM Bairstow,Junaid Khan,0,0,null,0,0,null,null
2,0.3,JJ Roy,JM Bairstow,Junaid Khan,1,0,null,1,0,null,null
3,0.4,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
4,0.5,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
5,0.6,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
6,1.1,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
7,1.2,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
8,1.3,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
9,1.4,JJ Roy,JM Bairstow,Shaheen Shah Afridi,4,0,null,4,0,null,null
10,1.5,JJ Roy,JM Bairstow,Shaheen Shah Afridi,4,0,null,4,0,null,null
11,1.6,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
12,2.1,JM Bairstow,JJ Roy,Junaid Khan,4,0,null,4,0,null,null
13,2.2,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
14,2.3,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
15,2.4,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
16,2.5,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
17,2.6,JM Bairstow,JJ Roy,Junaid Khan,4,0,null,4,0,null,null
18,3.1,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
19,3.2,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
20,3.3,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
21,3.4,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
22,3.5,JJ Roy,JM Bairstow,Shaheen Shah Afridi,1,0,null,1,0,null,null
23,3.6,JM Bairstow,JJ Roy,Shaheen Shah Afridi,1,0,null,1,0,null,null
24,4.1,JM Bairstow,JJ Roy,Junaid Khan,0,1,wides ,1,0,null,null
25,4.2,JM Bairstow,JJ Roy,Junaid Khan,1,0,null,1,0,null,null
26,4.3,JJ Roy,JM Bairstow,Junaid Khan,1,0,null,1,0,null,null
27,4.4,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
28,4.5,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
29,4.6,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
30,4.7,JM Bairstow,JJ Roy,Junaid Khan,4,0,null,4,0,null,null
31,5.1,JJ Roy,JM Bairstow,Shaheen Shah Afridi,6,0,null,6,0,null,null
32,5.2,JJ Roy,JM Bairstow,Shaheen Shah Afridi,1,0,null,1,0,null,null
33,5.3,JM Bairstow,JJ Roy,Shaheen Shah Afridi,1,0,null,1,0,null,null
34,5.4,JJ Roy,JM Bairstow,Shaheen Shah Afridi,1,0,null,1,0,null,null
35,5.5,JM Bairstow,JJ Roy,Shaheen Shah Afridi,1,0,null,1,0,null,null
36,5.6,JJ Roy,JM Bairstow,Shaheen Shah Afridi,0,0,null,0,0,null,null
37,6.1,JM Bairstow,JJ Roy,Junaid Khan,1,0,null,1,0,null,null
38,6.2,JJ Roy,JM Bairstow,Junaid Khan,1,0,null,1,0,null,null
39,6.3,JM Bairstow,JJ Roy,Junaid Khan,0,0,null,0,0,null,null
40,6.4,JM Bairstow,JJ Roy,Junaid Khan,6,0,null,6,0,null,null
41,6.5,JM Bairstow,JJ Roy,Junaid Khan,1,0,null,1,0,null,null
42,6.6,JJ Roy,JM Bairstow,Junaid Khan,1,0,null,1,0,null,null
43,7.1,JJ Roy,JM Bairstow,Hasan Ali,1,0,null,1,0,null,null
44,7.2,JM Bairstow,JJ Roy,Hasan Ali,1,0,null,1,0,null,null
45,7.3,JJ Roy,JM Bairstow,Hasan Ali,0,0,null,0,0,null,null
46,7.4,JJ Roy,JM Bairstow,Hasan Ali,4,0,null,4,0,null,null
47,7.5,JJ Roy,JM Bairstow,Hasan Ali,0,0,null,0,0,null,null
48,7.6,JJ Roy,JM Bairstow,Hasan Ali,1,0,null,1,0,null,null
49,8.1,JJ Roy,JM Bairstow,Imad Wasim,6,0,null,6,0,null,null
50,8.2,JJ Roy,JM Bairstow,Imad Wasim,1,0,null,1,0,null,null
51,8.3,JM Bairstow,JJ Roy,Imad Wasim,0,1,wides ,1,0,null,null
52,8.4,JM Bairstow,JJ Roy,Imad Wasim,1,0,null,1,0,null,null
53,8.5,JJ Roy,JM Bairstow,Imad Wasim,0,0,null,0,0,null,null
54,8.6,JJ Roy,JM Bairstow,Imad Wasim,1,0,null,1,0,null,null
55,8.7,JM Bairstow,JJ Roy,Imad Wasim,1,0,null,1,0,null,null
56,9.1,JM Bairstow,JJ Roy,Hasan Ali,0,0,null,0,0,null,null
57,9.2,JM Bairstow,JJ Roy,Hasan Ali,4,0,null,4,0,null,null
58,9.3,JM Bairstow,JJ Roy,Hasan Ali,0,0,null,0,0,null,null
59,9.4,JM Bairstow,JJ Roy,Hasan Ali,4,0,null,4,0,null,null
60,9.5,JM Bairstow,JJ Roy,Hasan Ali,1,0,null,1,0,null,null
61,9.6,JJ Roy,JM Bairstow,Hasan Ali,1,0,null,1,0,null,null
62,10.1,JJ Roy,JM Bairstow,Imad Wasim,6,0,null,6,0,null,null
63,10.2,JJ Roy,JM Bairstow,Imad Wasim,0,0,null,0,0,null,null
64,10.3,JJ Roy,JM Bairstow,Imad Wasim,0,0,null,0,0,null,null
65,10.4,JJ Roy,JM Bairstow,Imad Wasim,0,0,null,0,0,null,null
66,10.5,JJ Roy,JM Bairstow,Imad Wasim,0,0,null,0,0,null,null
67,10.6,JJ Roy,JM Bairstow,Imad Wasim,0,0,null,0,0,null,null
68,11.1,JM Bairstow,JJ Roy,Hasan Ali,0,0,null,0,0,null,null
69,11.2,JM Bairstow,JJ Roy,Hasan Ali,1,0,null,1,0,null,null
70,11.3,JJ Roy,JM Bairstow,Hasan Ali,4,0,null,4,0,null,null
71,11.4,JJ Roy,JM Bairstow,Hasan Ali,0,0,null,0,0,null,null
72,11.5,JJ Roy,JM Bairstow,Hasan Ali,0,1,wides ,1,0,null,null
73,11.6,JJ Roy,JM Bairstow,Hasan Ali,4,0,null,4,0,null,null
74,11.7,JJ Roy,JM Bairstow,Hasan Ali,2,0,null,2,0,null,null
75,12.1,JM Bairstow,JJ Roy,Imad Wasim,4,0,null,4,0,null,null
76,12.2,JM Bairstow,JJ Roy,Imad Wasim,1,0,null,1,0,null,null
77,12.3,JJ Roy,JM Bairstow,Imad Wasim,1,0,null,1,0,null,null
78,12.4,JM Bairstow,JJ Roy,Imad Wasim,6,0,null,6,0,null,null
79,12.5,JM Bairstow,JJ Roy,Imad Wasim,1,0,null,1,0,null,null
80,12.6,JJ Roy,JM Bairstow,Imad Wasim,1,0,null,1,0,null,null
81,13.1,JJ Roy,JM Bairstow,Faheem Ashraf,6,0,null,6,0,null,null
82,13.2,JJ Roy,JM Bairstow,Faheem Ashraf,0,0,null,0,0,null,null
83,13.3,JJ Roy,JM Bairstow,Faheem Ashraf,0,0,null,0,0,null,null
84,13.4,JJ Roy,JM Bairstow,Faheem Ashraf,4,0,null,4,0,null,null
85,13.5,JJ Roy,JM Bairstow,Faheem Ashraf,0,0,null,0,0,null,null
86,13.6,JJ Roy,JM Bairstow,Faheem Ashraf,1,0,null,1,0,null,null
87,14.1,JJ Roy,JM Bairstow,Shaheen Shah Afridi,4,0,null,4,0,null,null
88,14.2,JJ Roy,JM Bairstow,Shaheen Shah Afridi,1,0,null,1,0,null,null
89,14.3,JM Bairstow,JJ Roy,Shaheen Shah Afridi,4,0,null,4,0,null,null
90,14.4,JM Bairstow,JJ Roy,Shaheen Shah Afridi,4,0,null,4,0,null,null
91,14.5,JM Bairstow,JJ Roy,Shaheen Shah Afridi,6,0,null,6,0,null,null
92,14.6,JM Bairstow,JJ Roy,Shaheen Shah Afridi,1,0,null,1,0,null,null
93,15.1,JM Bairstow,JJ Roy,Faheem Ashraf,0,0,null,0,0,null,null
94,15.2,JM Bairstow,JJ Roy,Faheem Ashraf,2,0,null,2,0,null,null
95,15.3,JM Bairstow,JJ Roy,Faheem Ashraf,0,0,null,0,0,null,null
96,15.4,JM Bairstow,JJ Roy,Faheem Ashraf,2,0,null,2,0,null,null
97,15.5,JM Bairstow,JJ Roy,Faheem Ashraf,0,0,null,0,0,null,null
98,15.6,JM Bairstow,JJ Roy,Faheem Ashraf,4,0,null,4,0,null,null
99,16.1,JJ Roy,JM Bairstow,Shaheen Shah Afridi,1,0,null,1,0,null,null
100,16.2,JM Bairstow,JJ Roy,Shaheen Shah Afridi,4,0,null,4,0,null,null
101,16.3,JM Bairstow,JJ Roy,Shaheen Shah Afridi,0,0,null,0,0,null,null
102,16.4,JM Bairstow,JJ Roy,Shaheen Shah Afridi,1,0,null,1,0,null,null
103,16.5,JJ Roy,JM Bairstow,Shaheen Shah Afridi,1,0,null,1,0,null,null
104,16.6,JM Bairstow,JJ Roy,Shaheen Shah Afridi,1,0,null,1,0,null,null
105,17.1,JM Bairstow,JJ Roy,Faheem Ashraf,1,0,null,1,0,null,null
