,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AN Cook,C Kieswetter,TM Dilshan,1,0,null,1,0,null,null
1,0.2,C Kieswetter,AN Cook,TM Dilshan,0,0,null,0,0,null,null
2,0.3,C Kieswetter,AN Cook,TM Dilshan,0,0,null,0,0,null,null
3,0.4,C Kieswetter,AN Cook,TM Dilshan,0,1,wides ,1,0,null,null
4,0.5,C Kieswetter,AN Cook,TM Dilshan,1,0,null,1,0,null,null
5,0.6,AN Cook,C Kieswetter,TM Dilshan,1,0,null,1,0,null,null
6,0.7,C Kieswetter,AN Cook,TM Dilshan,1,0,null,1,0,null,null
7,1.1,C Kieswetter,AN Cook,KMDN Kulasekara,4,0,null,4,0,null,null
8,1.2,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
9,1.3,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
10,1.4,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
11,1.5,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
12,1.6,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
13,2.1,AN Cook,C Kieswetter,TM Dilshan,0,0,null,0,0,null,null
14,2.2,AN Cook,C Kieswetter,TM Dilshan,4,0,null,4,0,null,null
15,2.3,AN Cook,C Kieswetter,TM Dilshan,1,0,null,1,0,null,null
16,2.4,C Kieswetter,AN Cook,TM Dilshan,6,0,null,6,0,null,null
17,2.5,C Kieswetter,AN Cook,TM Dilshan,3,0,null,3,0,null,null
18,2.6,AN Cook,C Kieswetter,TM Dilshan,0,0,null,0,0,null,null
19,3.1,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
20,3.2,C Kieswetter,AN Cook,KMDN Kulasekara,4,0,null,4,0,null,null
21,3.3,C Kieswetter,AN Cook,KMDN Kulasekara,1,0,null,1,0,null,null
22,3.4,AN Cook,C Kieswetter,KMDN Kulasekara,0,0,null,0,0,null,null
23,3.5,AN Cook,C Kieswetter,KMDN Kulasekara,2,0,null,2,0,null,null
24,3.6,AN Cook,C Kieswetter,KMDN Kulasekara,1,0,null,1,0,null,null
25,4.1,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
26,4.2,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
27,4.3,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
28,4.4,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
29,4.5,AN Cook,C Kieswetter,SL Malinga,4,0,null,4,0,null,null
30,4.6,AN Cook,C Kieswetter,SL Malinga,0,1,wides ,1,0,null,null
31,4.7,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
32,5.1,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
33,5.2,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
34,5.3,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
35,5.4,C Kieswetter,AN Cook,KMDN Kulasekara,1,0,null,1,0,null,null
36,5.5,AN Cook,C Kieswetter,KMDN Kulasekara,1,0,null,1,0,null,null
37,5.6,C Kieswetter,AN Cook,KMDN Kulasekara,0,0,null,0,0,null,null
38,6.1,AN Cook,C Kieswetter,SL Malinga,2,0,null,2,0,null,null
39,6.2,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
40,6.3,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
41,6.4,AN Cook,C Kieswetter,SL Malinga,2,0,null,2,0,null,null
42,6.5,AN Cook,C Kieswetter,SL Malinga,0,0,null,0,0,null,null
43,6.6,AN Cook,C Kieswetter,SL Malinga,1,0,null,1,0,null,null
44,7.1,AN Cook,C Kieswetter,KMDN Kulasekara,0,0,null,0,0,null,null
