,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
1,0.2,H Masakadza,V Sibanda,Mashrafe Mortaza,0,1,wides ,1,0,null,null
2,0.3,H Masakadza,V Sibanda,Mashrafe Mortaza,4,0,null,4,0,null,null
3,0.4,H Masakadza,V Sibanda,Mashrafe Mortaza,1,0,null,1,0,null,null
4,0.5,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
5,0.6,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
6,0.7,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
7,1.1,H Masakadza,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
8,1.2,H Masakadza,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
9,1.3,H Masakadza,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
10,1.4,H Masakadza,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
11,1.5,H Masakadza,V Sibanda,Mahbubul Alam,4,0,null,4,0,null,null
12,1.6,H Masakadza,V Sibanda,Mahbubul Alam,4,0,null,4,0,null,null
13,2.1,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,null,0,0,null,null
14,2.2,V Sibanda,H Masakadza,Mashrafe Mortaza,1,0,null,1,0,null,null
15,2.3,H Masakadza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
16,2.4,H Masakadza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
17,2.5,H Masakadza,V Sibanda,Mashrafe Mortaza,2,0,null,2,0,null,null
18,2.6,H Masakadza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
19,3.1,V Sibanda,H Masakadza,Mahbubul Alam,0,0,null,0,0,null,null
20,3.2,V Sibanda,H Masakadza,Mahbubul Alam,0,0,null,0,0,null,null
21,3.3,V Sibanda,H Masakadza,Mahbubul Alam,4,0,null,4,0,null,null
22,3.4,V Sibanda,H Masakadza,Mahbubul Alam,0,0,null,0,0,null,null
23,3.5,V Sibanda,H Masakadza,Mahbubul Alam,0,0,null,0,0,null,null
24,3.6,V Sibanda,H Masakadza,Mahbubul Alam,0,0,null,0,0,null,null
25,4.1,H Masakadza,V Sibanda,Mashrafe Mortaza,1,0,null,1,0,null,null
26,4.2,V Sibanda,H Masakadza,Mashrafe Mortaza,1,0,null,1,0,null,null
27,4.3,H Masakadza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
28,4.4,H Masakadza,V Sibanda,Mashrafe Mortaza,0,0,null,0,1,H Masakadza,caught
29,4.5,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
30,4.6,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,1,0,null,1,0,null,null
31,5.1,S Matsikenyeri,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
32,5.2,S Matsikenyeri,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
33,5.3,S Matsikenyeri,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
34,5.4,S Matsikenyeri,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
35,5.5,S Matsikenyeri,V Sibanda,Mahbubul Alam,0,0,null,0,0,null,null
36,5.6,S Matsikenyeri,V Sibanda,Mahbubul Alam,4,0,null,4,0,null,null
37,6.1,V Sibanda,S Matsikenyeri,Mashrafe Mortaza,0,0,null,0,0,null,null
38,6.2,V Sibanda,S Matsikenyeri,Mashrafe Mortaza,1,0,null,1,0,null,null
39,6.3,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
40,6.4,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
41,6.5,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
42,6.6,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
43,7.1,V Sibanda,S Matsikenyeri,Mahbubul Alam,2,0,null,2,0,null,null
44,7.2,V Sibanda,S Matsikenyeri,Mahbubul Alam,4,0,null,4,0,null,null
45,7.3,V Sibanda,S Matsikenyeri,Mahbubul Alam,0,0,null,0,0,null,null
46,7.4,V Sibanda,S Matsikenyeri,Mahbubul Alam,0,0,null,0,0,null,null
47,7.5,V Sibanda,S Matsikenyeri,Mahbubul Alam,0,0,null,0,0,null,null
48,7.6,V Sibanda,S Matsikenyeri,Mahbubul Alam,0,0,null,0,0,null,null
49,8.1,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,4,0,null,4,0,null,null
50,8.2,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
51,8.3,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
52,8.4,S Matsikenyeri,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
