,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,RS Morton,I Sharma,2,0,null,2,0,null,null
1,0.2,CH Gayle,RS Morton,I Sharma,0,0,null,0,0,null,null
2,0.3,CH Gayle,RS Morton,I Sharma,4,0,null,4,0,null,null
3,0.4,CH Gayle,RS Morton,I Sharma,4,0,null,4,0,null,null
4,0.5,CH Gayle,RS Morton,I Sharma,0,0,null,0,0,null,null
5,0.6,CH Gayle,RS Morton,I Sharma,0,0,null,0,0,null,null
6,1.1,RS Morton,CH Gayle,A Nehra,0,0,null,0,0,null,null
7,1.2,RS Morton,CH Gayle,A Nehra,0,0,null,0,0,null,null
8,1.3,RS Morton,CH Gayle,A Nehra,0,0,null,0,0,null,null
9,1.4,RS Morton,CH Gayle,A Nehra,0,0,null,0,0,null,null
10,1.5,RS Morton,CH Gayle,A Nehra,0,0,null,0,0,null,null
11,1.6,RS Morton,CH Gayle,A Nehra,0,0,null,0,0,null,null
12,2.1,CH Gayle,RS Morton,I Sharma,0,0,null,0,0,null,null
13,2.2,CH Gayle,RS Morton,I Sharma,4,0,null,4,0,null,null
14,2.3,CH Gayle,RS Morton,I Sharma,4,0,null,4,0,null,null
15,2.4,CH Gayle,RS Morton,I Sharma,1,0,null,1,0,null,null
16,2.5,RS Morton,CH Gayle,I Sharma,0,0,null,0,0,null,null
17,2.6,RS Morton,CH Gayle,I Sharma,0,0,null,0,0,null,null
18,3.1,CH Gayle,RS Morton,A Nehra,4,0,null,4,0,null,null
19,3.2,CH Gayle,RS Morton,A Nehra,0,0,null,0,0,null,null
20,3.3,CH Gayle,RS Morton,A Nehra,4,0,null,4,0,null,null
21,3.4,CH Gayle,RS Morton,A Nehra,0,0,null,0,1,CH Gayle,caught
22,3.5,RR Sarwan,RS Morton,A Nehra,0,0,null,0,0,null,null
23,3.6,RR Sarwan,RS Morton,A Nehra,2,0,null,2,0,null,null
24,4.1,RS Morton,RR Sarwan,I Sharma,2,0,null,2,0,null,null
25,4.2,RS Morton,RR Sarwan,I Sharma,0,0,null,0,0,null,null
26,4.3,RS Morton,RR Sarwan,I Sharma,1,0,null,1,0,null,null
27,4.4,RR Sarwan,RS Morton,I Sharma,0,0,null,0,0,null,null
28,4.5,RR Sarwan,RS Morton,I Sharma,4,0,null,4,0,null,null
29,4.6,RR Sarwan,RS Morton,I Sharma,1,0,null,1,0,null,null
30,5.1,RR Sarwan,RS Morton,A Nehra,0,1,wides ,1,0,null,null
31,5.2,RR Sarwan,RS Morton,A Nehra,0,0,null,0,0,null,null
32,5.3,RR Sarwan,RS Morton,A Nehra,0,0,null,0,0,null,null
33,5.4,RR Sarwan,RS Morton,A Nehra,1,0,null,1,0,null,null
34,5.5,RS Morton,RR Sarwan,A Nehra,0,0,null,0,0,null,null
35,5.6,RS Morton,RR Sarwan,A Nehra,0,0,null,0,0,null,null
36,5.7,RS Morton,RR Sarwan,A Nehra,4,0,null,4,0,null,null
37,6.1,RR Sarwan,RS Morton,I Sharma,0,0,null,0,0,null,null
38,6.2,RR Sarwan,RS Morton,I Sharma,0,0,null,0,0,null,null
39,6.3,RR Sarwan,RS Morton,I Sharma,0,1,legbyes ,1,0,null,null
40,6.4,RS Morton,RR Sarwan,I Sharma,1,0,null,1,0,null,null
41,6.5,RR Sarwan,RS Morton,I Sharma,0,0,null,0,0,null,null
42,6.6,RR Sarwan,RS Morton,I Sharma,0,0,null,0,0,null,null
43,7.1,RS Morton,RR Sarwan,A Nehra,0,0,null,0,0,null,null
44,7.2,RS Morton,RR Sarwan,A Nehra,0,0,null,0,0,null,null
45,7.3,RS Morton,RR Sarwan,A Nehra,0,0,null,0,0,null,null
46,7.4,RS Morton,RR Sarwan,A Nehra,0,2,legbyes ,2,0,null,null
47,7.5,RS Morton,RR Sarwan,A Nehra,2,0,null,2,0,null,null
