,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
1,0.2,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
2,0.3,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
3,0.4,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
4,0.5,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
5,0.6,Salman Butt,Kamran Akmal,PT Collins,0,2,noballs ,2,0,null,null
6,0.7,Kamran Akmal,Salman Butt,PT Collins,0,0,null,0,0,null,null
7,1.1,Salman Butt,Kamran Akmal,IDR Bradshaw,1,0,null,1,0,null,null
8,1.2,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
9,1.3,Kamran Akmal,Salman Butt,IDR Bradshaw,1,0,null,1,0,null,null
10,1.4,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
11,1.5,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
12,1.6,Salman Butt,Kamran Akmal,IDR Bradshaw,1,0,null,1,0,null,null
13,2.1,Salman Butt,Kamran Akmal,PT Collins,1,0,null,1,0,null,null
14,2.2,Kamran Akmal,Salman Butt,PT Collins,1,0,null,1,0,null,null
15,2.3,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
16,2.4,Salman Butt,Kamran Akmal,PT Collins,0,1,noballs ,1,0,null,null
17,2.5,Salman Butt,Kamran Akmal,PT Collins,2,0,null,2,0,null,null
18,2.6,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
19,2.7,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
20,3.1,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
21,3.2,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
22,3.3,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
23,3.4,Kamran Akmal,Salman Butt,IDR Bradshaw,1,0,null,1,0,null,null
24,3.5,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
25,3.6,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
26,4.1,Kamran Akmal,Salman Butt,PT Collins,0,1,wides ,1,0,null,null
27,4.2,Kamran Akmal,Salman Butt,PT Collins,0,0,null,0,0,null,null
28,4.3,Kamran Akmal,Salman Butt,PT Collins,0,0,null,0,0,null,null
29,4.4,Kamran Akmal,Salman Butt,PT Collins,0,0,null,0,0,null,null
30,4.5,Kamran Akmal,Salman Butt,PT Collins,1,0,null,1,0,null,null
31,4.6,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
32,4.7,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
33,5.1,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
34,5.2,Kamran Akmal,Salman Butt,IDR Bradshaw,0,1,wides ,1,0,null,null
35,5.3,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
36,5.4,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
37,5.5,Kamran Akmal,Salman Butt,IDR Bradshaw,4,0,null,4,0,null,null
38,5.6,Kamran Akmal,Salman Butt,IDR Bradshaw,1,0,null,1,0,null,null
39,5.7,Salman Butt,Kamran Akmal,IDR Bradshaw,4,0,null,4,0,null,null
40,6.1,Kamran Akmal,Salman Butt,PT Collins,0,1,legbyes ,1,0,null,null
41,6.2,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
42,6.3,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
43,6.4,Salman Butt,Kamran Akmal,PT Collins,4,0,null,4,0,null,null
44,6.5,Salman Butt,Kamran Akmal,PT Collins,1,0,null,1,0,null,null
45,6.6,Kamran Akmal,Salman Butt,PT Collins,0,0,null,0,0,null,null
46,7.1,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
47,7.2,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
48,7.3,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
49,7.4,Salman Butt,Kamran Akmal,IDR Bradshaw,1,0,null,1,0,null,null
50,7.5,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
51,7.6,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
52,8.1,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
53,8.2,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
54,8.3,Salman Butt,Kamran Akmal,PT Collins,0,0,null,0,0,null,null
55,8.4,Salman Butt,Kamran Akmal,PT Collins,1,0,null,1,0,null,null
56,8.5,Kamran Akmal,Salman Butt,PT Collins,0,0,null,0,0,null,null
57,8.6,Kamran Akmal,Salman Butt,PT Collins,0,0,null,0,0,null,null
58,9.1,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
59,9.2,Salman Butt,Kamran Akmal,IDR Bradshaw,0,1,legbyes ,1,0,null,null
60,9.3,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
61,9.4,Kamran Akmal,Salman Butt,IDR Bradshaw,1,0,null,1,0,null,null
62,9.5,Salman Butt,Kamran Akmal,IDR Bradshaw,1,0,null,1,0,null,null
63,9.6,Kamran Akmal,Salman Butt,IDR Bradshaw,0,0,null,0,0,null,null
64,10.1,Salman Butt,Kamran Akmal,Reon King,0,0,null,0,0,null,null
65,10.2,Salman Butt,Kamran Akmal,Reon King,1,0,null,1,0,null,null
66,10.3,Kamran Akmal,Salman Butt,Reon King,1,0,null,1,0,null,null
67,10.4,Salman Butt,Kamran Akmal,Reon King,0,0,null,0,0,null,null
68,10.5,Salman Butt,Kamran Akmal,Reon King,0,0,null,0,0,null,null
69,10.6,Salman Butt,Kamran Akmal,Reon King,1,0,null,1,0,null,null
70,11.1,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
71,11.2,Salman Butt,Kamran Akmal,IDR Bradshaw,0,0,null,0,1,Salman Butt,caught
72,11.3,Yasir Hameed,Kamran Akmal,IDR Bradshaw,0,0,null,0,0,null,null
73,11.4,Yasir Hameed,Kamran Akmal,IDR Bradshaw,1,0,null,1,0,null,null
74,11.5,Kamran Akmal,Yasir Hameed,IDR Bradshaw,0,0,null,0,0,null,null
75,11.6,Kamran Akmal,Yasir Hameed,IDR Bradshaw,1,0,null,1,0,null,null
76,12.1,Kamran Akmal,Yasir Hameed,Reon King,4,0,null,4,0,null,null
77,12.2,Kamran Akmal,Yasir Hameed,Reon King,0,0,null,0,0,null,null
78,12.3,Kamran Akmal,Yasir Hameed,Reon King,0,0,null,0,0,null,null
79,12.4,Kamran Akmal,Yasir Hameed,Reon King,1,0,null,1,0,null,null
80,12.5,Yasir Hameed,Kamran Akmal,Reon King,0,0,null,0,0,null,null
81,12.6,Yasir Hameed,Kamran Akmal,Reon King,0,0,null,0,0,null,null
82,13.1,Kamran Akmal,Yasir Hameed,IDR Bradshaw,0,0,null,0,0,null,null
83,13.2,Kamran Akmal,Yasir Hameed,IDR Bradshaw,0,0,null,0,0,null,null
84,13.3,Kamran Akmal,Yasir Hameed,IDR Bradshaw,0,0,null,0,1,Kamran Akmal,caught
85,13.4,Mohammad Yousuf,Yasir Hameed,IDR Bradshaw,0,0,null,0,0,null,null
86,13.5,Mohammad Yousuf,Yasir Hameed,IDR Bradshaw,0,0,null,0,0,null,null
87,13.6,Mohammad Yousuf,Yasir Hameed,IDR Bradshaw,0,0,null,0,0,null,null
88,14.1,Yasir Hameed,Mohammad Yousuf,Reon King,0,0,null,0,0,null,null
