,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
1,0.2,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
2,0.3,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
3,0.4,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
4,0.5,M Labuschagne,AJ Finch,JJ Bumrah,2,0,null,2,0,null,null
5,0.6,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
6,1.1,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
7,1.2,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
8,1.3,AJ Finch,M Labuschagne,T Natarajan,6,0,null,6,0,null,null
9,1.4,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
10,1.5,AJ Finch,M Labuschagne,T Natarajan,1,0,null,1,0,null,null
11,1.6,M Labuschagne,AJ Finch,T Natarajan,0,0,null,0,0,null,null
12,2.1,AJ Finch,M Labuschagne,JJ Bumrah,0,0,null,0,0,null,null
13,2.2,AJ Finch,M Labuschagne,JJ Bumrah,0,0,null,0,0,null,null
14,2.3,AJ Finch,M Labuschagne,JJ Bumrah,0,0,null,0,0,null,null
15,2.4,AJ Finch,M Labuschagne,JJ Bumrah,1,0,null,1,0,null,null
16,2.5,M Labuschagne,AJ Finch,JJ Bumrah,4,0,null,4,0,null,null
17,2.6,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
18,3.1,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
19,3.2,AJ Finch,M Labuschagne,T Natarajan,4,0,null,4,0,null,null
20,3.3,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
21,3.4,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
22,3.5,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
23,3.6,AJ Finch,M Labuschagne,T Natarajan,0,0,null,0,0,null,null
24,4.1,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
25,4.2,M Labuschagne,AJ Finch,JJ Bumrah,0,0,null,0,0,null,null
26,4.3,M Labuschagne,AJ Finch,JJ Bumrah,1,0,null,1,0,null,null
27,4.4,AJ Finch,M Labuschagne,JJ Bumrah,6,0,null,6,0,null,null
28,4.5,AJ Finch,M Labuschagne,JJ Bumrah,0,0,null,0,0,null,null
29,4.6,AJ Finch,M Labuschagne,JJ Bumrah,0,0,null,0,0,null,null
30,5.1,M Labuschagne,AJ Finch,T Natarajan,0,0,null,0,1,M Labuschagne,bowled
31,5.2,SPD Smith,AJ Finch,T Natarajan,0,0,null,0,0,null,null
32,5.3,SPD Smith,AJ Finch,T Natarajan,0,0,null,0,0,null,null
33,5.4,SPD Smith,AJ Finch,T Natarajan,0,0,null,0,0,null,null
34,5.5,SPD Smith,AJ Finch,T Natarajan,0,0,null,0,0,null,null
35,5.6,SPD Smith,AJ Finch,T Natarajan,0,0,null,0,0,null,null
36,6.1,AJ Finch,SPD Smith,JJ Bumrah,4,0,null,4,0,null,null
37,6.2,AJ Finch,SPD Smith,JJ Bumrah,0,0,null,0,0,null,null
38,6.3,AJ Finch,SPD Smith,JJ Bumrah,0,0,null,0,0,null,null
39,6.4,AJ Finch,SPD Smith,JJ Bumrah,0,0,null,0,0,null,null
40,6.5,AJ Finch,SPD Smith,JJ Bumrah,0,0,null,0,0,null,null
41,6.6,AJ Finch,SPD Smith,JJ Bumrah,0,4,legbyes ,4,0,null,null
42,7.1,SPD Smith,AJ Finch,T Natarajan,0,0,null,0,0,null,null
43,7.2,SPD Smith,AJ Finch,T Natarajan,1,1,noballs ,2,0,null,null
44,7.3,AJ Finch,SPD Smith,T Natarajan,0,0,null,0,0,null,null
45,7.4,AJ Finch,SPD Smith,T Natarajan,0,1,legbyes ,1,0,null,null
46,7.5,SPD Smith,AJ Finch,T Natarajan,1,0,null,1,0,null,null
47,7.6,AJ Finch,SPD Smith,T Natarajan,0,1,wides ,1,0,null,null
48,7.7,AJ Finch,SPD Smith,T Natarajan,0,1,wides ,1,0,null,null
49,7.8,AJ Finch,SPD Smith,T Natarajan,4,0,null,4,0,null,null
50,7.9,AJ Finch,SPD Smith,T Natarajan,1,0,null,1,0,null,null
51,8.1,AJ Finch,SPD Smith,JJ Bumrah,0,0,null,0,0,null,null
