,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
1,0.2,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
2,0.3,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
3,0.4,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
4,0.5,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
5,0.6,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
6,1.1,S Dhawan,RG Sharma,JA Richardson,1,0,null,1,0,null,null
7,1.2,RG Sharma,S Dhawan,JA Richardson,0,0,null,0,0,null,null
8,1.3,RG Sharma,S Dhawan,JA Richardson,4,0,null,4,0,null,null
9,1.4,RG Sharma,S Dhawan,JA Richardson,0,0,null,0,0,null,null
10,1.5,RG Sharma,S Dhawan,JA Richardson,4,0,null,4,0,null,null
11,1.6,RG Sharma,S Dhawan,JA Richardson,0,0,null,0,0,null,null
12,2.1,S Dhawan,RG Sharma,JP Behrendorff,0,0,null,0,0,null,null
13,2.2,S Dhawan,RG Sharma,JP Behrendorff,0,0,null,0,0,null,null
14,2.3,S Dhawan,RG Sharma,JP Behrendorff,0,0,null,0,0,null,null
15,2.4,S Dhawan,RG Sharma,JP Behrendorff,1,0,null,1,0,null,null
16,2.5,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
17,2.6,RG Sharma,S Dhawan,JP Behrendorff,0,0,null,0,0,null,null
18,3.1,S Dhawan,RG Sharma,JA Richardson,0,0,null,0,0,null,null
19,3.2,S Dhawan,RG Sharma,JA Richardson,4,0,null,4,0,null,null
20,3.3,S Dhawan,RG Sharma,JA Richardson,0,0,null,0,0,null,null
21,3.4,S Dhawan,RG Sharma,JA Richardson,1,0,null,1,0,null,null
22,3.5,RG Sharma,S Dhawan,JA Richardson,0,0,null,0,0,null,null
23,3.6,RG Sharma,S Dhawan,JA Richardson,0,0,null,0,0,null,null
24,4.1,S Dhawan,RG Sharma,JP Behrendorff,0,4,legbyes ,4,0,null,null
25,4.2,S Dhawan,RG Sharma,JP Behrendorff,0,0,null,0,0,null,null
26,4.3,S Dhawan,RG Sharma,JP Behrendorff,2,0,null,2,0,null,null
