,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Imam-ul-Haq,Fakhar Zaman,TA Boult,0,0,null,0,0,null,null
1,0.2,Imam-ul-Haq,Fakhar Zaman,TA Boult,0,0,null,0,0,null,null
2,0.3,Imam-ul-Haq,Fakhar Zaman,TA Boult,0,0,null,0,0,null,null
3,0.4,Imam-ul-Haq,Fakhar Zaman,TA Boult,0,0,null,0,0,null,null
4,0.5,Imam-ul-Haq,Fakhar Zaman,TA Boult,0,0,null,0,0,null,null
5,0.6,Imam-ul-Haq,Fakhar Zaman,TA Boult,4,0,null,4,0,null,null
6,1.1,Fakhar Zaman,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
7,1.2,Fakhar Zaman,Imam-ul-Haq,MJ Henry,4,0,null,4,0,null,null
8,1.3,Fakhar Zaman,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
9,1.4,Fakhar Zaman,Imam-ul-Haq,MJ Henry,1,0,null,1,0,null,null
10,1.5,Imam-ul-Haq,Fakhar Zaman,MJ Henry,4,0,null,4,0,null,null
11,1.6,Imam-ul-Haq,Fakhar Zaman,MJ Henry,2,0,null,2,0,null,null
12,2.1,Fakhar Zaman,Imam-ul-Haq,TA Boult,4,0,null,4,0,null,null
13,2.2,Fakhar Zaman,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
14,2.3,Fakhar Zaman,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
15,2.4,Fakhar Zaman,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
16,2.5,Fakhar Zaman,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
17,2.6,Fakhar Zaman,Imam-ul-Haq,TA Boult,0,0,null,0,1,Fakhar Zaman,caught
18,3.1,Imam-ul-Haq,Babar Azam,MJ Henry,0,0,null,0,0,null,null
19,3.2,Imam-ul-Haq,Babar Azam,MJ Henry,0,0,null,0,0,null,null
20,3.3,Imam-ul-Haq,Babar Azam,MJ Henry,0,0,null,0,0,null,null
21,3.4,Imam-ul-Haq,Babar Azam,MJ Henry,1,0,null,1,0,null,null
22,3.5,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
23,3.6,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
24,4.1,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
25,4.2,Imam-ul-Haq,Babar Azam,TA Boult,4,0,null,4,0,null,null
26,4.3,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
27,4.4,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
28,4.5,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
29,4.6,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
30,5.1,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
31,5.2,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
32,5.3,Babar Azam,Imam-ul-Haq,MJ Henry,2,0,null,2,0,null,null
33,5.4,Babar Azam,Imam-ul-Haq,MJ Henry,3,0,null,3,0,null,null
34,5.5,Imam-ul-Haq,Babar Azam,MJ Henry,1,0,null,1,0,null,null
35,5.6,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
36,6.1,Imam-ul-Haq,Babar Azam,TA Boult,2,0,null,2,0,null,null
37,6.2,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
38,6.3,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
39,6.4,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
40,6.5,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
41,6.6,Imam-ul-Haq,Babar Azam,TA Boult,0,0,null,0,0,null,null
42,7.1,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
43,7.2,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
44,7.3,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
45,7.4,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
46,7.5,Babar Azam,Imam-ul-Haq,MJ Henry,0,0,null,0,0,null,null
