,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
1,0.2,AN Cook,IR Bell,KMDN Kulasekara,0,1,wides ,1,0,null,null
2,0.3,AN Cook,IR Bell,KMDN Kulasekara,2,0,null,2,0,null,null
3,0.4,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
4,0.5,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
5,0.6,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
6,0.7,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
7,1.1,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
8,1.2,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
9,1.3,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
10,1.4,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
11,1.5,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
12,1.6,IR Bell,AN Cook,SL Malinga,4,0,null,4,0,null,null
13,2.1,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
14,2.2,AN Cook,IR Bell,KMDN Kulasekara,3,0,null,3,0,null,null
15,2.3,IR Bell,AN Cook,KMDN Kulasekara,0,1,wides ,1,0,null,null
16,2.4,IR Bell,AN Cook,KMDN Kulasekara,1,0,null,1,0,null,null
17,2.5,AN Cook,IR Bell,KMDN Kulasekara,4,0,null,4,0,null,null
18,2.6,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
19,2.7,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
20,3.1,IR Bell,AN Cook,SL Malinga,2,0,null,2,0,null,null
21,3.2,IR Bell,AN Cook,SL Malinga,1,0,null,1,0,null,null
22,3.3,AN Cook,IR Bell,SL Malinga,0,0,null,0,0,null,null
23,3.4,AN Cook,IR Bell,SL Malinga,0,0,null,0,0,null,null
24,3.5,AN Cook,IR Bell,SL Malinga,0,0,null,0,0,null,null
25,3.6,AN Cook,IR Bell,SL Malinga,1,0,null,1,0,null,null
26,4.1,AN Cook,IR Bell,KMDN Kulasekara,2,0,null,2,0,null,null
27,4.2,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
28,4.3,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
29,4.4,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
30,4.5,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
31,4.6,AN Cook,IR Bell,KMDN Kulasekara,0,0,null,0,0,null,null
32,5.1,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
33,5.2,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
34,5.3,IR Bell,AN Cook,SL Malinga,0,0,null,0,0,null,null
35,5.4,IR Bell,AN Cook,SL Malinga,3,0,null,3,0,null,null
36,5.5,AN Cook,IR Bell,SL Malinga,1,0,null,1,0,null,null
37,5.6,IR Bell,AN Cook,SL Malinga,1,0,null,1,0,null,null
38,6.1,IR Bell,AN Cook,HMRKB Herath,2,0,null,2,0,null,null
39,6.2,IR Bell,AN Cook,HMRKB Herath,0,0,null,0,0,null,null
40,6.3,IR Bell,AN Cook,HMRKB Herath,1,0,null,1,0,null,null
41,6.4,AN Cook,IR Bell,HMRKB Herath,0,0,null,0,0,null,null
42,6.5,AN Cook,IR Bell,HMRKB Herath,1,0,null,1,0,null,null
43,6.6,IR Bell,AN Cook,HMRKB Herath,1,0,null,1,0,null,null
