,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,L Vincent,JM How,WPUJC Vaas,0,0,null,0,0,null,null
1,0.2,L Vincent,JM How,WPUJC Vaas,0,0,null,0,0,null,null
2,0.3,L Vincent,JM How,WPUJC Vaas,0,0,null,0,0,null,null
3,0.4,L Vincent,JM How,WPUJC Vaas,0,0,null,0,0,null,null
4,0.5,L Vincent,JM How,WPUJC Vaas,0,0,null,0,0,null,null
5,0.6,L Vincent,JM How,WPUJC Vaas,4,0,null,4,0,null,null
6,1.1,JM How,L Vincent,CRD Fernando,1,0,null,1,0,null,null
7,1.2,L Vincent,JM How,CRD Fernando,0,1,wides ,1,0,null,null
8,1.3,L Vincent,JM How,CRD Fernando,4,0,null,4,0,null,null
9,1.4,L Vincent,JM How,CRD Fernando,0,0,null,0,0,null,null
10,1.5,L Vincent,JM How,CRD Fernando,0,0,null,0,0,null,null
11,1.6,L Vincent,JM How,CRD Fernando,0,0,null,0,0,null,null
12,1.7,L Vincent,JM How,CRD Fernando,0,0,null,0,0,null,null
13,2.1,JM How,L Vincent,WPUJC Vaas,0,0,null,0,0,null,null
14,2.2,JM How,L Vincent,WPUJC Vaas,0,0,null,0,0,null,null
15,2.3,JM How,L Vincent,WPUJC Vaas,4,0,null,4,0,null,null
16,2.4,JM How,L Vincent,WPUJC Vaas,0,0,null,0,1,JM How,caught
17,2.5,SP Fleming,L Vincent,WPUJC Vaas,0,0,null,0,0,null,null
18,2.6,SP Fleming,L Vincent,WPUJC Vaas,0,0,null,0,0,null,null
19,3.1,L Vincent,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
20,3.2,L Vincent,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
21,3.3,L Vincent,SP Fleming,CRD Fernando,0,0,null,0,1,L Vincent,caught
22,3.4,PG Fulton,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
23,3.5,PG Fulton,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
24,3.6,PG Fulton,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
25,4.1,SP Fleming,PG Fulton,WPUJC Vaas,0,0,null,0,0,null,null
26,4.2,SP Fleming,PG Fulton,WPUJC Vaas,0,0,null,0,0,null,null
27,4.3,SP Fleming,PG Fulton,WPUJC Vaas,0,0,null,0,0,null,null
28,4.4,SP Fleming,PG Fulton,WPUJC Vaas,0,0,null,0,0,null,null
29,4.5,SP Fleming,PG Fulton,WPUJC Vaas,0,0,null,0,0,null,null
30,4.6,SP Fleming,PG Fulton,WPUJC Vaas,0,0,null,0,0,null,null
31,5.1,PG Fulton,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
32,5.2,PG Fulton,SP Fleming,CRD Fernando,1,0,null,1,0,null,null
33,5.3,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
34,5.4,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
35,5.5,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
36,5.6,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
37,6.1,PG Fulton,SP Fleming,WPUJC Vaas,0,0,null,0,0,null,null
38,6.2,PG Fulton,SP Fleming,WPUJC Vaas,2,0,null,2,0,null,null
39,6.3,PG Fulton,SP Fleming,WPUJC Vaas,0,0,null,0,0,null,null
40,6.4,PG Fulton,SP Fleming,WPUJC Vaas,0,0,null,0,0,null,null
41,6.5,PG Fulton,SP Fleming,WPUJC Vaas,1,0,null,1,0,null,null
42,6.6,SP Fleming,PG Fulton,WPUJC Vaas,1,0,null,1,0,null,null
43,7.1,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
44,7.2,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
45,7.3,SP Fleming,PG Fulton,CRD Fernando,1,0,null,1,0,null,null
46,7.4,PG Fulton,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
47,7.5,PG Fulton,SP Fleming,CRD Fernando,0,0,null,0,0,null,null
48,7.6,PG Fulton,SP Fleming,CRD Fernando,4,0,null,4,0,null,null
49,8.1,SP Fleming,PG Fulton,MF Maharoof,0,0,null,0,0,null,null
50,8.2,SP Fleming,PG Fulton,MF Maharoof,0,0,null,0,0,null,null
51,8.3,SP Fleming,PG Fulton,MF Maharoof,0,0,null,0,0,null,null
52,8.4,SP Fleming,PG Fulton,MF Maharoof,0,0,null,0,0,null,null
53,8.5,SP Fleming,PG Fulton,MF Maharoof,0,0,null,0,0,null,null
54,8.6,SP Fleming,PG Fulton,MF Maharoof,1,0,null,1,0,null,null
55,9.1,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
56,9.2,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
57,9.3,SP Fleming,PG Fulton,CRD Fernando,4,1,noballs ,5,0,null,null
58,9.4,SP Fleming,PG Fulton,CRD Fernando,4,0,null,4,0,null,null
59,9.5,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
60,9.6,SP Fleming,PG Fulton,CRD Fernando,4,0,null,4,0,null,null
61,9.7,SP Fleming,PG Fulton,CRD Fernando,0,0,null,0,0,null,null
62,10.1,PG Fulton,SP Fleming,MF Maharoof,0,0,null,0,0,null,null
63,10.2,PG Fulton,SP Fleming,MF Maharoof,0,0,null,0,0,null,null
64,10.3,PG Fulton,SP Fleming,MF Maharoof,2,0,null,2,0,null,null
65,10.4,PG Fulton,SP Fleming,MF Maharoof,0,0,null,0,0,null,null
66,10.5,PG Fulton,SP Fleming,MF Maharoof,1,0,null,1,0,null,null
67,10.6,SP Fleming,PG Fulton,MF Maharoof,0,0,null,0,0,null,null
68,11.1,PG Fulton,SP Fleming,TM Dilshan,1,0,null,1,0,null,null
69,11.2,SP Fleming,PG Fulton,TM Dilshan,0,0,null,0,0,null,null
70,11.3,SP Fleming,PG Fulton,TM Dilshan,0,0,null,0,0,null,null
71,11.4,SP Fleming,PG Fulton,TM Dilshan,0,0,null,0,0,null,null
72,11.5,SP Fleming,PG Fulton,TM Dilshan,0,0,null,0,0,null,null
73,11.6,SP Fleming,PG Fulton,TM Dilshan,0,0,null,0,0,null,null
74,12.1,PG Fulton,SP Fleming,MF Maharoof,0,0,null,0,0,null,null
75,12.2,PG Fulton,SP Fleming,MF Maharoof,0,0,null,0,0,null,null
76,12.3,PG Fulton,SP Fleming,MF Maharoof,4,0,null,4,0,null,null
77,12.4,PG Fulton,SP Fleming,MF Maharoof,4,0,null,4,0,null,null
78,12.5,PG Fulton,SP Fleming,MF Maharoof,0,1,legbyes ,1,0,null,null
79,12.6,SP Fleming,PG Fulton,MF Maharoof,0,0,null,0,0,null,null
80,13.1,PG Fulton,SP Fleming,TM Dilshan,0,0,null,0,0,null,null
81,13.2,PG Fulton,SP Fleming,TM Dilshan,2,0,null,2,0,null,null
82,13.3,PG Fulton,SP Fleming,TM Dilshan,1,0,null,1,0,null,null
