,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
1,0.2,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
2,0.3,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
3,0.4,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
4,0.5,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
5,0.6,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
6,1.1,TM Dilshan,HDRL Thirimanne,TG Southee,0,0,null,0,0,null,null
7,1.2,TM Dilshan,HDRL Thirimanne,TG Southee,0,0,null,0,0,null,null
8,1.3,TM Dilshan,HDRL Thirimanne,TG Southee,0,0,null,0,0,null,null
9,1.4,TM Dilshan,HDRL Thirimanne,TG Southee,2,0,null,2,0,null,null
10,1.5,TM Dilshan,HDRL Thirimanne,TG Southee,4,0,null,4,0,null,null
11,1.6,TM Dilshan,HDRL Thirimanne,TG Southee,0,0,null,0,0,null,null
12,2.1,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
13,2.2,HDRL Thirimanne,TM Dilshan,KD Mills,2,0,null,2,0,null,null
14,2.3,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
15,2.4,HDRL Thirimanne,TM Dilshan,KD Mills,1,0,null,1,0,null,null
16,2.5,TM Dilshan,HDRL Thirimanne,KD Mills,0,0,null,0,0,null,null
17,2.6,TM Dilshan,HDRL Thirimanne,KD Mills,0,1,wides ,1,0,null,null
18,2.7,TM Dilshan,HDRL Thirimanne,KD Mills,1,0,null,1,0,null,null
19,3.1,TM Dilshan,HDRL Thirimanne,TG Southee,0,0,null,0,0,null,null
20,3.2,TM Dilshan,HDRL Thirimanne,TG Southee,0,0,null,0,0,null,null
21,3.3,TM Dilshan,HDRL Thirimanne,TG Southee,1,0,null,1,0,null,null
22,3.4,HDRL Thirimanne,TM Dilshan,TG Southee,0,0,null,0,0,null,null
23,3.5,HDRL Thirimanne,TM Dilshan,TG Southee,0,0,null,0,0,null,null
24,3.6,HDRL Thirimanne,TM Dilshan,TG Southee,1,0,null,1,0,null,null
25,4.1,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
26,4.2,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
27,4.3,HDRL Thirimanne,TM Dilshan,KD Mills,4,0,null,4,0,null,null
28,4.4,HDRL Thirimanne,TM Dilshan,KD Mills,0,0,null,0,0,null,null
