,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
1,0.2,SE Marsh,SR Watson,JE Taylor,1,0,null,1,0,null,null
2,0.3,SR Watson,SE Marsh,JE Taylor,1,0,null,1,0,null,null
3,0.4,SE Marsh,SR Watson,JE Taylor,4,0,null,4,0,null,null
4,0.5,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
5,0.6,SE Marsh,SR Watson,JE Taylor,1,0,null,1,0,null,null
6,1.1,SE Marsh,SR Watson,CH Gayle,0,0,null,0,0,null,null
7,1.2,SE Marsh,SR Watson,CH Gayle,1,0,null,1,0,null,null
8,1.3,SR Watson,SE Marsh,CH Gayle,0,0,null,0,0,null,null
9,1.4,SR Watson,SE Marsh,CH Gayle,0,0,null,0,0,null,null
10,1.5,SR Watson,SE Marsh,CH Gayle,4,0,null,4,0,null,null
11,1.6,SR Watson,SE Marsh,CH Gayle,0,0,null,0,0,null,null
12,2.1,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
13,2.2,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
14,2.3,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
15,2.4,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
16,2.5,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
17,2.6,SE Marsh,SR Watson,JE Taylor,4,0,null,4,0,null,null
18,3.1,SR Watson,SE Marsh,FH Edwards,0,1,legbyes ,1,0,null,null
19,3.2,SE Marsh,SR Watson,FH Edwards,0,0,null,0,0,null,null
20,3.3,SE Marsh,SR Watson,FH Edwards,0,0,null,0,0,null,null
21,3.4,SE Marsh,SR Watson,FH Edwards,2,0,null,2,0,null,null
22,3.5,SE Marsh,SR Watson,FH Edwards,1,0,null,1,0,null,null
23,3.6,SR Watson,SE Marsh,FH Edwards,2,0,null,2,0,null,null
24,4.1,SE Marsh,SR Watson,JE Taylor,0,0,null,0,0,null,null
25,4.2,SE Marsh,SR Watson,JE Taylor,1,0,null,1,0,null,null
26,4.3,SR Watson,SE Marsh,JE Taylor,1,0,null,1,0,null,null
27,4.4,SE Marsh,SR Watson,JE Taylor,4,0,null,4,0,null,null
28,4.5,SE Marsh,SR Watson,JE Taylor,1,0,null,1,0,null,null
29,4.6,SR Watson,SE Marsh,JE Taylor,0,1,wides ,1,0,null,null
30,4.7,SR Watson,SE Marsh,JE Taylor,1,0,null,1,0,null,null
31,5.1,SR Watson,SE Marsh,FH Edwards,1,0,null,1,0,null,null
32,5.2,SE Marsh,SR Watson,FH Edwards,0,0,null,0,0,null,null
33,5.3,SE Marsh,SR Watson,FH Edwards,3,0,null,3,0,null,null
34,5.4,SR Watson,SE Marsh,FH Edwards,2,0,null,2,0,null,null
35,5.5,SR Watson,SE Marsh,FH Edwards,4,0,null,4,0,null,null
