,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Imam-ul-Haq,Fakhar Zaman,K Rabada,0,0,null,0,0,null,null
1,0.2,Imam-ul-Haq,Fakhar Zaman,K Rabada,0,0,null,0,0,null,null
2,0.3,Imam-ul-Haq,Fakhar Zaman,K Rabada,1,0,null,1,0,null,null
3,0.4,Fakhar Zaman,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
4,0.5,Fakhar Zaman,Imam-ul-Haq,K Rabada,1,0,null,1,0,null,null
5,0.6,Imam-ul-Haq,Fakhar Zaman,K Rabada,0,0,null,0,0,null,null
6,1.1,Fakhar Zaman,Imam-ul-Haq,L Ngidi,0,0,null,0,0,null,null
7,1.2,Fakhar Zaman,Imam-ul-Haq,L Ngidi,2,0,null,2,0,null,null
8,1.3,Fakhar Zaman,Imam-ul-Haq,L Ngidi,0,0,null,0,0,null,null
9,1.4,Fakhar Zaman,Imam-ul-Haq,L Ngidi,0,0,null,0,0,null,null
10,1.5,Fakhar Zaman,Imam-ul-Haq,L Ngidi,4,0,null,4,0,null,null
11,1.6,Fakhar Zaman,Imam-ul-Haq,L Ngidi,1,0,null,1,0,null,null
12,2.1,Fakhar Zaman,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
13,2.2,Fakhar Zaman,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
14,2.3,Fakhar Zaman,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
15,2.4,Fakhar Zaman,Imam-ul-Haq,K Rabada,0,0,null,0,1,Fakhar Zaman,bowled
16,2.5,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
17,2.6,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
18,3.1,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
19,3.2,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
20,3.3,Imam-ul-Haq,Babar Azam,L Ngidi,1,0,null,1,0,null,null
21,3.4,Babar Azam,Imam-ul-Haq,L Ngidi,0,0,null,0,0,null,null
22,3.5,Babar Azam,Imam-ul-Haq,L Ngidi,1,0,null,1,0,null,null
23,3.6,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
24,4.1,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
25,4.2,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
26,4.3,Babar Azam,Imam-ul-Haq,K Rabada,0,1,wides ,1,0,null,null
27,4.4,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
28,4.5,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
29,4.6,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
30,4.7,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
31,5.1,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
32,5.2,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
33,5.3,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
34,5.4,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
35,5.5,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
36,5.6,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
37,6.1,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
38,6.2,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
39,6.3,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
40,6.4,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
41,6.5,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
42,6.6,Babar Azam,Imam-ul-Haq,K Rabada,2,0,null,2,0,null,null
43,7.1,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
44,7.2,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
45,7.3,Imam-ul-Haq,Babar Azam,L Ngidi,0,0,null,0,0,null,null
46,7.4,Imam-ul-Haq,Babar Azam,L Ngidi,1,0,null,1,0,null,null
47,7.5,Babar Azam,Imam-ul-Haq,L Ngidi,1,0,null,1,0,null,null
48,7.6,Imam-ul-Haq,Babar Azam,L Ngidi,3,0,null,3,0,null,null
49,8.1,Imam-ul-Haq,Babar Azam,K Rabada,2,0,null,2,0,null,null
50,8.2,Imam-ul-Haq,Babar Azam,K Rabada,0,0,null,0,0,null,null
51,8.3,Imam-ul-Haq,Babar Azam,K Rabada,1,0,null,1,0,null,null
52,8.4,Babar Azam,Imam-ul-Haq,K Rabada,4,0,null,4,0,null,null
53,8.5,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
54,8.6,Babar Azam,Imam-ul-Haq,K Rabada,0,0,null,0,0,null,null
55,9.1,Imam-ul-Haq,Babar Azam,A Nortje,2,0,null,2,0,null,null
56,9.2,Imam-ul-Haq,Babar Azam,A Nortje,1,0,null,1,0,null,null
57,9.3,Babar Azam,Imam-ul-Haq,A Nortje,4,0,null,4,0,null,null
58,9.4,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
59,9.5,Babar Azam,Imam-ul-Haq,A Nortje,4,0,null,4,0,null,null
60,9.6,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
61,10.1,Imam-ul-Haq,Babar Azam,AL Phehlukwayo,0,0,null,0,0,null,null
62,10.2,Imam-ul-Haq,Babar Azam,AL Phehlukwayo,1,0,null,1,0,null,null
63,10.3,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,0,0,null,0,0,null,null
64,10.4,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,1,0,null,1,0,null,null
65,10.5,Imam-ul-Haq,Babar Azam,AL Phehlukwayo,1,0,null,1,0,null,null
66,10.6,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,4,0,null,4,0,null,null
67,11.1,Imam-ul-Haq,Babar Azam,A Nortje,1,0,null,1,0,null,null
68,11.2,Babar Azam,Imam-ul-Haq,A Nortje,1,0,null,1,0,null,null
69,11.3,Imam-ul-Haq,Babar Azam,A Nortje,1,0,null,1,0,null,null
70,11.4,Babar Azam,Imam-ul-Haq,A Nortje,1,0,null,1,0,null,null
71,11.5,Imam-ul-Haq,Babar Azam,A Nortje,0,0,null,0,0,null,null
72,11.6,Imam-ul-Haq,Babar Azam,A Nortje,1,0,null,1,0,null,null
73,12.1,Imam-ul-Haq,Babar Azam,AL Phehlukwayo,1,0,null,1,0,null,null
74,12.2,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,0,0,null,0,0,null,null
75,12.3,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,0,0,null,0,0,null,null
76,12.4,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,4,0,null,4,0,null,null
77,12.5,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,1,0,null,1,0,null,null
78,12.6,Imam-ul-Haq,Babar Azam,AL Phehlukwayo,2,0,null,2,0,null,null
79,13.1,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
80,13.2,Babar Azam,Imam-ul-Haq,A Nortje,2,0,null,2,0,null,null
81,13.3,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
82,13.4,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
83,13.5,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
84,13.6,Babar Azam,Imam-ul-Haq,A Nortje,1,0,null,1,0,null,null
85,14.1,Babar Azam,Imam-ul-Haq,T Shamsi,0,0,null,0,0,null,null
86,14.2,Babar Azam,Imam-ul-Haq,T Shamsi,0,0,null,0,0,null,null
87,14.3,Babar Azam,Imam-ul-Haq,T Shamsi,1,0,null,1,0,null,null
88,14.4,Imam-ul-Haq,Babar Azam,T Shamsi,1,0,null,1,0,null,null
89,14.5,Babar Azam,Imam-ul-Haq,T Shamsi,1,0,null,1,0,null,null
90,14.6,Imam-ul-Haq,Babar Azam,T Shamsi,2,0,null,2,0,null,null
91,15.1,Babar Azam,Imam-ul-Haq,A Nortje,1,0,null,1,0,null,null
92,15.2,Imam-ul-Haq,Babar Azam,A Nortje,0,0,null,0,0,null,null
93,15.3,Imam-ul-Haq,Babar Azam,A Nortje,1,0,null,1,0,null,null
94,15.4,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
95,15.5,Babar Azam,Imam-ul-Haq,A Nortje,0,1,wides ,1,0,null,null
96,15.6,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
97,15.7,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
98,16.1,Imam-ul-Haq,Babar Azam,T Shamsi,0,0,null,0,0,null,null
99,16.2,Imam-ul-Haq,Babar Azam,T Shamsi,0,0,null,0,0,null,null
100,16.3,Imam-ul-Haq,Babar Azam,T Shamsi,6,0,null,6,0,null,null
101,16.4,Imam-ul-Haq,Babar Azam,T Shamsi,1,0,null,1,0,null,null
102,16.5,Babar Azam,Imam-ul-Haq,T Shamsi,1,0,null,1,0,null,null
103,16.6,Imam-ul-Haq,Babar Azam,T Shamsi,0,0,null,0,0,null,null
104,17.1,Babar Azam,Imam-ul-Haq,A Nortje,4,0,null,4,0,null,null
105,17.2,Babar Azam,Imam-ul-Haq,A Nortje,4,0,null,4,0,null,null
106,17.3,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
107,17.4,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
108,17.5,Babar Azam,Imam-ul-Haq,A Nortje,0,0,null,0,0,null,null
109,17.6,Babar Azam,Imam-ul-Haq,A Nortje,1,0,null,1,0,null,null
110,18.1,Babar Azam,Imam-ul-Haq,T Shamsi,1,0,null,1,0,null,null
111,18.2,Imam-ul-Haq,Babar Azam,T Shamsi,1,0,null,1,0,null,null
112,18.3,Babar Azam,Imam-ul-Haq,T Shamsi,0,1,wides ,1,0,null,null
113,18.4,Babar Azam,Imam-ul-Haq,T Shamsi,1,0,null,1,0,null,null
114,18.5,Imam-ul-Haq,Babar Azam,T Shamsi,0,0,null,0,0,null,null
115,18.6,Imam-ul-Haq,Babar Azam,T Shamsi,0,0,null,0,0,null,null
116,18.7,Imam-ul-Haq,Babar Azam,T Shamsi,1,0,null,1,0,null,null
117,19.1,Imam-ul-Haq,Babar Azam,AL Phehlukwayo,0,0,null,0,0,null,null
118,19.2,Imam-ul-Haq,Babar Azam,AL Phehlukwayo,1,0,null,1,0,null,null
119,19.3,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,0,0,null,0,0,null,null
120,19.4,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,0,1,wides ,1,0,null,null
121,19.5,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,0,0,null,0,0,null,null
122,19.6,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,0,0,null,0,0,null,null
123,19.7,Babar Azam,Imam-ul-Haq,AL Phehlukwayo,1,0,null,1,0,null,null
124,20.1,Babar Azam,Imam-ul-Haq,T Shamsi,4,0,null,4,0,null,null
125,20.2,Babar Azam,Imam-ul-Haq,T Shamsi,0,0,null,0,0,null,null
126,20.3,Babar Azam,Imam-ul-Haq,T Shamsi,1,0,null,1,0,null,null
