,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,CJ Chibhabha,Dolar Mahmud,0,1,noballs ,1,0,null,null
1,0.2,H Masakadza,CJ Chibhabha,Dolar Mahmud,0,0,null,0,0,null,null
2,0.3,H Masakadza,CJ Chibhabha,Dolar Mahmud,0,0,null,0,0,null,null
3,0.4,H Masakadza,CJ Chibhabha,Dolar Mahmud,0,0,null,0,0,null,null
4,0.5,H Masakadza,CJ Chibhabha,Dolar Mahmud,1,0,null,1,0,null,null
5,0.6,CJ Chibhabha,H Masakadza,Dolar Mahmud,0,0,null,0,0,null,null
6,0.7,CJ Chibhabha,H Masakadza,Dolar Mahmud,1,0,null,1,0,null,null
7,1.1,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
8,1.2,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
9,1.3,CJ Chibhabha,H Masakadza,Rubel Hossain,4,0,null,4,0,null,null
10,1.4,CJ Chibhabha,H Masakadza,Rubel Hossain,0,1,noballs ,1,0,null,null
11,1.5,CJ Chibhabha,H Masakadza,Rubel Hossain,6,0,null,6,0,null,null
12,1.6,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
13,1.7,CJ Chibhabha,H Masakadza,Rubel Hossain,1,0,null,1,0,null,null
14,2.1,CJ Chibhabha,H Masakadza,Dolar Mahmud,4,0,null,4,0,null,null
15,2.2,CJ Chibhabha,H Masakadza,Dolar Mahmud,0,0,null,0,0,null,null
16,2.3,CJ Chibhabha,H Masakadza,Dolar Mahmud,0,0,null,0,0,null,null
17,2.4,CJ Chibhabha,H Masakadza,Dolar Mahmud,1,0,null,1,0,null,null
18,2.5,H Masakadza,CJ Chibhabha,Dolar Mahmud,0,0,null,0,0,null,null
19,2.6,H Masakadza,CJ Chibhabha,Dolar Mahmud,0,0,null,0,0,null,null
20,3.1,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
21,3.2,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
22,3.3,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
23,3.4,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
24,3.5,CJ Chibhabha,H Masakadza,Rubel Hossain,0,0,null,0,0,null,null
25,3.6,CJ Chibhabha,H Masakadza,Rubel Hossain,1,0,null,1,0,null,null
26,4.1,CJ Chibhabha,H Masakadza,Shakib Al Hasan,4,0,null,4,0,null,null
27,4.2,CJ Chibhabha,H Masakadza,Shakib Al Hasan,0,0,null,0,0,null,null
28,4.3,CJ Chibhabha,H Masakadza,Shakib Al Hasan,0,0,null,0,0,null,null
29,4.4,CJ Chibhabha,H Masakadza,Shakib Al Hasan,2,0,null,2,0,null,null
30,4.5,CJ Chibhabha,H Masakadza,Shakib Al Hasan,0,0,null,0,0,null,null
31,4.6,CJ Chibhabha,H Masakadza,Shakib Al Hasan,0,0,null,0,0,null,null
32,5.1,H Masakadza,CJ Chibhabha,Rubel Hossain,1,0,null,1,0,null,null
33,5.2,CJ Chibhabha,H Masakadza,Rubel Hossain,1,0,null,1,0,null,null
34,5.3,H Masakadza,CJ Chibhabha,Rubel Hossain,4,0,null,4,0,null,null
35,5.4,H Masakadza,CJ Chibhabha,Rubel Hossain,0,0,null,0,0,null,null
36,5.5,H Masakadza,CJ Chibhabha,Rubel Hossain,0,0,null,0,0,null,null
