,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SR Watson,BJ Haddin,JM Anderson,4,0,null,4,0,null,null
1,0.2,SR Watson,BJ Haddin,JM Anderson,0,0,null,0,0,null,null
2,0.3,SR Watson,BJ Haddin,JM Anderson,0,0,null,0,0,null,null
3,0.4,SR Watson,BJ Haddin,JM Anderson,2,0,null,2,0,null,null
4,0.5,SR Watson,BJ Haddin,JM Anderson,0,0,null,0,0,null,null
5,0.6,SR Watson,BJ Haddin,JM Anderson,0,0,null,0,0,null,null
6,1.1,BJ Haddin,SR Watson,A Shahzad,0,1,legbyes ,1,0,null,null
7,1.2,SR Watson,BJ Haddin,A Shahzad,1,0,null,1,0,null,null
8,1.3,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
9,1.4,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
10,1.5,BJ Haddin,SR Watson,A Shahzad,0,1,wides ,1,0,null,null
11,1.6,BJ Haddin,SR Watson,A Shahzad,1,0,null,1,0,null,null
12,1.7,SR Watson,BJ Haddin,A Shahzad,0,0,null,0,0,null,null
13,2.1,BJ Haddin,SR Watson,JM Anderson,0,0,null,0,0,null,null
14,2.2,BJ Haddin,SR Watson,JM Anderson,0,0,null,0,0,null,null
15,2.3,BJ Haddin,SR Watson,JM Anderson,4,0,null,4,0,null,null
16,2.4,BJ Haddin,SR Watson,JM Anderson,1,0,null,1,0,null,null
17,2.5,SR Watson,BJ Haddin,JM Anderson,1,0,null,1,0,null,null
18,2.6,BJ Haddin,SR Watson,JM Anderson,1,0,null,1,0,null,null
19,3.1,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
20,3.2,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
21,3.3,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
22,3.4,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
23,3.5,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
24,3.6,BJ Haddin,SR Watson,A Shahzad,0,1,wides ,1,0,null,null
25,3.7,BJ Haddin,SR Watson,A Shahzad,1,0,null,1,0,null,null
26,4.1,BJ Haddin,SR Watson,JM Anderson,0,1,wides ,1,0,null,null
27,4.2,BJ Haddin,SR Watson,JM Anderson,0,0,null,0,0,null,null
28,4.3,BJ Haddin,SR Watson,JM Anderson,0,0,null,0,0,null,null
29,4.4,BJ Haddin,SR Watson,JM Anderson,0,0,null,0,0,null,null
30,4.5,BJ Haddin,SR Watson,JM Anderson,0,0,null,0,0,null,null
31,4.6,BJ Haddin,SR Watson,JM Anderson,1,0,null,1,0,null,null
32,4.7,SR Watson,BJ Haddin,JM Anderson,4,0,null,4,0,null,null
33,5.1,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
34,5.2,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
35,5.3,BJ Haddin,SR Watson,A Shahzad,4,0,null,4,0,null,null
36,5.4,BJ Haddin,SR Watson,A Shahzad,1,0,null,1,0,null,null
37,5.5,SR Watson,BJ Haddin,A Shahzad,1,0,null,1,0,null,null
38,5.6,BJ Haddin,SR Watson,A Shahzad,0,0,null,0,0,null,null
39,6.1,SR Watson,BJ Haddin,ST Finn,0,0,null,0,0,null,null
