,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
1,0.2,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
2,0.3,WU Tharanga,DPMD Jayawardene,Mohammad Amir,1,0,null,1,0,null,null
3,0.4,DPMD Jayawardene,WU Tharanga,Mohammad Amir,1,0,null,1,0,null,null
4,0.5,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
5,0.6,WU Tharanga,DPMD Jayawardene,Mohammad Amir,1,0,null,1,0,null,null
6,1.1,WU Tharanga,DPMD Jayawardene,Abdul Razzaq,0,0,null,0,0,null,null
7,1.2,WU Tharanga,DPMD Jayawardene,Abdul Razzaq,4,0,null,4,0,null,null
8,1.3,WU Tharanga,DPMD Jayawardene,Abdul Razzaq,4,0,null,4,0,null,null
9,1.4,WU Tharanga,DPMD Jayawardene,Abdul Razzaq,0,0,null,0,0,null,null
10,1.5,WU Tharanga,DPMD Jayawardene,Abdul Razzaq,0,0,null,0,0,null,null
11,1.6,WU Tharanga,DPMD Jayawardene,Abdul Razzaq,0,0,null,0,0,null,null
12,2.1,DPMD Jayawardene,WU Tharanga,Mohammad Amir,1,0,null,1,0,null,null
13,2.2,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
14,2.3,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
15,2.4,WU Tharanga,DPMD Jayawardene,Mohammad Amir,2,0,null,2,0,null,null
16,2.5,WU Tharanga,DPMD Jayawardene,Mohammad Amir,4,0,null,4,0,null,null
17,2.6,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
18,3.1,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
19,3.2,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
20,3.3,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,4,0,null,4,0,null,null
21,3.4,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
22,3.5,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
23,3.6,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,4,0,null,4,0,null,null
24,4.1,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
25,4.2,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
26,4.3,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,1,wides ,1,0,null,null
27,4.4,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
28,4.5,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
29,4.6,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
30,4.7,WU Tharanga,DPMD Jayawardene,Mohammad Amir,4,0,null,4,0,null,null
31,5.1,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,4,0,null,4,0,null,null
32,5.2,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,4,0,null,4,0,null,null
33,5.3,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
34,5.4,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
35,5.5,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
36,5.6,DPMD Jayawardene,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
37,6.1,WU Tharanga,DPMD Jayawardene,Mohammad Amir,4,0,null,4,0,null,null
38,6.2,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
39,6.3,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
40,6.4,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
41,6.5,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
42,6.6,WU Tharanga,DPMD Jayawardene,Mohammad Amir,1,0,null,1,0,null,null
43,7.1,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,0,0,null,0,0,null,null
44,7.2,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,1,0,null,1,0,null,null
45,7.3,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,3,0,null,3,0,null,null
46,7.4,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,0,0,null,0,0,null,null
47,7.5,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,4,0,null,4,0,null,null
48,7.6,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,0,0,null,0,0,null,null
49,8.1,DPMD Jayawardene,WU Tharanga,Mohammad Amir,0,0,null,0,0,null,null
50,8.2,DPMD Jayawardene,WU Tharanga,Mohammad Amir,1,0,null,1,0,null,null
51,8.3,WU Tharanga,DPMD Jayawardene,Mohammad Amir,0,0,null,0,0,null,null
52,8.4,WU Tharanga,DPMD Jayawardene,Mohammad Amir,1,0,null,1,0,null,null
53,8.5,DPMD Jayawardene,WU Tharanga,Mohammad Amir,4,0,null,4,0,null,null
54,8.6,DPMD Jayawardene,WU Tharanga,Mohammad Amir,0,0,null,0,0,null,null
55,9.1,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,1,0,null,1,0,null,null
56,9.2,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,4,0,null,4,0,null,null
57,9.3,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,2,0,null,2,0,null,null
58,9.4,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
59,9.5,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
60,9.6,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,1,0,null,1,0,null,null
61,10.1,DPMD Jayawardene,WU Tharanga,Shahid Afridi,2,0,null,2,0,null,null
62,10.2,DPMD Jayawardene,WU Tharanga,Shahid Afridi,1,0,null,1,0,null,null
63,10.3,WU Tharanga,DPMD Jayawardene,Shahid Afridi,0,1,wides ,1,0,null,null
64,10.4,WU Tharanga,DPMD Jayawardene,Shahid Afridi,0,0,null,0,0,null,null
65,10.5,WU Tharanga,DPMD Jayawardene,Shahid Afridi,2,0,null,2,0,null,null
66,10.6,WU Tharanga,DPMD Jayawardene,Shahid Afridi,0,0,null,0,0,null,null
67,10.7,WU Tharanga,DPMD Jayawardene,Shahid Afridi,1,0,null,1,0,null,null
68,11.1,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,1,0,null,1,0,null,null
69,11.2,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
70,11.3,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
71,11.4,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
72,11.5,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,1,0,null,1,0,null,null
73,11.6,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,0,0,null,0,0,null,null
74,12.1,DPMD Jayawardene,WU Tharanga,Shahid Afridi,0,0,null,0,0,null,null
75,12.2,DPMD Jayawardene,WU Tharanga,Shahid Afridi,1,0,null,1,0,null,null
76,12.3,WU Tharanga,DPMD Jayawardene,Shahid Afridi,4,0,null,4,0,null,null
77,12.4,WU Tharanga,DPMD Jayawardene,Shahid Afridi,1,0,null,1,0,null,null
78,12.5,DPMD Jayawardene,WU Tharanga,Shahid Afridi,0,0,null,0,0,null,null
79,12.6,DPMD Jayawardene,WU Tharanga,Shahid Afridi,0,0,null,0,0,null,null
80,13.1,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,4,0,null,4,0,null,null
81,13.2,WU Tharanga,DPMD Jayawardene,Naved-ul-Hasan,1,0,null,1,0,null,null
82,13.3,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
83,13.4,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
84,13.5,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,0,0,null,0,0,null,null
85,13.6,DPMD Jayawardene,WU Tharanga,Naved-ul-Hasan,1,0,null,1,0,null,null
86,14.1,DPMD Jayawardene,WU Tharanga,Shahid Afridi,1,0,null,1,0,null,null
87,14.2,WU Tharanga,DPMD Jayawardene,Shahid Afridi,1,0,null,1,0,null,null
88,14.3,DPMD Jayawardene,WU Tharanga,Shahid Afridi,6,0,null,6,0,null,null
89,14.4,DPMD Jayawardene,WU Tharanga,Shahid Afridi,1,0,null,1,0,null,null
90,14.5,WU Tharanga,DPMD Jayawardene,Shahid Afridi,0,0,null,0,0,null,null
91,14.6,WU Tharanga,DPMD Jayawardene,Shahid Afridi,0,0,null,0,0,null,null
92,15.1,DPMD Jayawardene,WU Tharanga,Saeed Ajmal,1,0,null,1,0,null,null
93,15.2,WU Tharanga,DPMD Jayawardene,Saeed Ajmal,0,0,null,0,0,null,null
94,15.3,WU Tharanga,DPMD Jayawardene,Saeed Ajmal,0,0,null,0,0,null,null
95,15.4,WU Tharanga,DPMD Jayawardene,Saeed Ajmal,1,0,null,1,0,null,null
96,15.5,DPMD Jayawardene,WU Tharanga,Saeed Ajmal,1,0,null,1,0,null,null
97,15.6,WU Tharanga,DPMD Jayawardene,Saeed Ajmal,0,0,null,0,0,null,null
98,16.1,DPMD Jayawardene,WU Tharanga,Shahid Afridi,1,0,null,1,0,null,null
99,16.2,WU Tharanga,DPMD Jayawardene,Shahid Afridi,1,0,null,1,0,null,null
100,16.3,DPMD Jayawardene,WU Tharanga,Shahid Afridi,0,0,null,0,0,null,null
101,16.4,DPMD Jayawardene,WU Tharanga,Shahid Afridi,4,0,null,4,0,null,null
102,16.5,DPMD Jayawardene,WU Tharanga,Shahid Afridi,1,0,null,1,0,null,null
103,16.6,WU Tharanga,DPMD Jayawardene,Shahid Afridi,1,0,null,1,0,null,null
104,17.1,WU Tharanga,DPMD Jayawardene,Saeed Ajmal,1,0,null,1,0,null,null
105,17.2,DPMD Jayawardene,WU Tharanga,Saeed Ajmal,0,0,null,0,0,null,null
