,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AJ Strauss,EC Joyce,Mohammad Asif,0,1,noballs ,1,0,null,null
1,0.2,AJ Strauss,EC Joyce,Mohammad Asif,0,0,null,0,0,null,null
2,0.3,AJ Strauss,EC Joyce,Mohammad Asif,0,0,null,0,0,null,null
3,0.4,AJ Strauss,EC Joyce,Mohammad Asif,4,0,null,4,0,null,null
4,0.5,AJ Strauss,EC Joyce,Mohammad Asif,0,0,null,0,0,null,null
5,0.6,AJ Strauss,EC Joyce,Mohammad Asif,1,0,null,1,0,null,null
6,0.7,EC Joyce,AJ Strauss,Mohammad Asif,0,0,null,0,0,null,null
7,1.1,AJ Strauss,EC Joyce,Naved-ul-Hasan,0,0,null,0,0,null,null
8,1.2,AJ Strauss,EC Joyce,Naved-ul-Hasan,0,1,wides ,1,0,null,null
9,1.3,AJ Strauss,EC Joyce,Naved-ul-Hasan,0,0,null,0,0,null,null
10,1.4,AJ Strauss,EC Joyce,Naved-ul-Hasan,0,0,null,0,0,null,null
11,1.5,AJ Strauss,EC Joyce,Naved-ul-Hasan,0,0,null,0,0,null,null
12,1.6,AJ Strauss,EC Joyce,Naved-ul-Hasan,4,0,null,4,0,null,null
13,1.7,AJ Strauss,EC Joyce,Naved-ul-Hasan,4,0,null,4,0,null,null
14,2.1,EC Joyce,AJ Strauss,Mohammad Asif,4,0,null,4,0,null,null
15,2.2,EC Joyce,AJ Strauss,Mohammad Asif,0,0,null,0,0,null,null
16,2.3,EC Joyce,AJ Strauss,Mohammad Asif,0,0,null,0,0,null,null
17,2.4,EC Joyce,AJ Strauss,Mohammad Asif,4,0,null,4,0,null,null
18,2.5,EC Joyce,AJ Strauss,Mohammad Asif,0,0,null,0,1,EC Joyce,bowled
19,2.6,IR Bell,AJ Strauss,Mohammad Asif,0,0,null,0,0,null,null
20,3.1,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
21,3.2,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
22,3.3,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
23,3.4,AJ Strauss,IR Bell,Iftikhar Anjum,0,1,wides ,1,0,null,null
24,3.5,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
25,3.6,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
26,3.7,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
27,4.1,IR Bell,AJ Strauss,Mohammad Asif,0,0,null,0,0,null,null
28,4.2,IR Bell,AJ Strauss,Mohammad Asif,1,0,null,1,0,null,null
29,4.3,AJ Strauss,IR Bell,Mohammad Asif,0,0,null,0,0,null,null
30,4.4,AJ Strauss,IR Bell,Mohammad Asif,0,0,null,0,0,null,null
31,4.5,AJ Strauss,IR Bell,Mohammad Asif,4,0,null,4,0,null,null
32,4.6,AJ Strauss,IR Bell,Mohammad Asif,1,0,null,1,0,null,null
33,5.1,AJ Strauss,IR Bell,Iftikhar Anjum,4,0,null,4,0,null,null
34,5.2,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
35,5.3,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
36,5.4,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
37,5.5,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
38,5.6,AJ Strauss,IR Bell,Iftikhar Anjum,0,0,null,0,0,null,null
39,6.1,IR Bell,AJ Strauss,Mohammad Asif,1,1,noballs ,2,0,null,null
40,6.2,AJ Strauss,IR Bell,Mohammad Asif,4,0,null,4,0,null,null
41,6.3,AJ Strauss,IR Bell,Mohammad Asif,4,0,null,4,0,null,null
42,6.4,AJ Strauss,IR Bell,Mohammad Asif,0,0,null,0,0,null,null
43,6.5,AJ Strauss,IR Bell,Mohammad Asif,0,0,null,0,0,null,null
44,6.6,AJ Strauss,IR Bell,Mohammad Asif,0,0,null,0,0,null,null
45,6.7,AJ Strauss,IR Bell,Mohammad Asif,1,0,null,1,0,null,null
