,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
1,0.2,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
2,0.3,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
3,0.4,Mohammad Shahzad,Ihsanullah,BV Vitori,1,0,null,1,0,null,null
4,0.5,Ihsanullah,Mohammad Shahzad,BV Vitori,4,0,null,4,0,null,null
5,0.6,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
6,1.1,Mohammad Shahzad,Ihsanullah,TL Chatara,0,0,null,0,0,null,null
7,1.2,Mohammad Shahzad,Ihsanullah,TL Chatara,1,0,null,1,0,null,null
8,1.3,Ihsanullah,Mohammad Shahzad,TL Chatara,0,0,null,0,0,null,null
9,1.4,Ihsanullah,Mohammad Shahzad,TL Chatara,0,1,legbyes ,1,0,null,null
10,1.5,Mohammad Shahzad,Ihsanullah,TL Chatara,0,0,null,0,0,null,null
11,1.6,Mohammad Shahzad,Ihsanullah,TL Chatara,0,0,null,0,0,null,null
12,2.1,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
13,2.2,Ihsanullah,Mohammad Shahzad,BV Vitori,2,0,null,2,0,null,null
14,2.3,Ihsanullah,Mohammad Shahzad,BV Vitori,1,0,null,1,0,null,null
15,2.4,Mohammad Shahzad,Ihsanullah,BV Vitori,0,1,wides ,1,0,null,null
16,2.5,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
17,2.6,Mohammad Shahzad,Ihsanullah,BV Vitori,4,0,null,4,0,null,null
18,2.7,Mohammad Shahzad,Ihsanullah,BV Vitori,1,0,null,1,0,null,null
19,3.1,Mohammad Shahzad,Ihsanullah,TL Chatara,0,0,null,0,0,null,null
20,3.2,Mohammad Shahzad,Ihsanullah,TL Chatara,0,0,null,0,0,null,null
21,3.3,Mohammad Shahzad,Ihsanullah,TL Chatara,0,0,null,0,1,Mohammad Shahzad,caught
22,3.4,Rahmat Shah,Ihsanullah,TL Chatara,0,0,null,0,0,null,null
23,3.5,Rahmat Shah,Ihsanullah,TL Chatara,0,0,null,0,0,null,null
