,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,DG Brownlie,TWM Latham,K Rabada,1,0,null,1,0,null,null
1,0.2,TWM Latham,DG Brownlie,K Rabada,0,0,null,0,0,null,null
2,0.3,TWM Latham,DG Brownlie,K Rabada,0,0,null,0,0,null,null
3,0.4,TWM Latham,DG Brownlie,K Rabada,0,0,null,0,0,null,null
4,0.5,TWM Latham,DG Brownlie,K Rabada,0,0,null,0,0,null,null
5,0.6,TWM Latham,DG Brownlie,K Rabada,0,0,null,0,0,null,null
6,1.1,DG Brownlie,TWM Latham,WD Parnell,1,0,null,1,0,null,null
7,1.2,TWM Latham,DG Brownlie,WD Parnell,0,0,null,0,0,null,null
8,1.3,TWM Latham,DG Brownlie,WD Parnell,0,0,null,0,1,TWM Latham,caught
9,1.4,KS Williamson,DG Brownlie,WD Parnell,1,0,null,1,0,null,null
10,1.5,DG Brownlie,KS Williamson,WD Parnell,0,0,null,0,0,null,null
11,1.6,DG Brownlie,KS Williamson,WD Parnell,0,0,null,0,0,null,null
12,2.1,KS Williamson,DG Brownlie,K Rabada,0,0,null,0,0,null,null
13,2.2,KS Williamson,DG Brownlie,K Rabada,2,0,null,2,0,null,null
14,2.3,KS Williamson,DG Brownlie,K Rabada,0,0,null,0,0,null,null
15,2.4,KS Williamson,DG Brownlie,K Rabada,0,5,wides ,5,0,null,null
16,2.5,KS Williamson,DG Brownlie,K Rabada,1,0,null,1,0,null,null
17,2.6,DG Brownlie,KS Williamson,K Rabada,0,0,null,0,1,DG Brownlie,caught
18,2.7,LRPL Taylor,KS Williamson,K Rabada,2,0,null,2,0,null,null
19,3.1,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
20,3.2,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
21,3.3,KS Williamson,LRPL Taylor,WD Parnell,2,0,null,2,0,null,null
22,3.4,KS Williamson,LRPL Taylor,WD Parnell,1,0,null,1,0,null,null
23,3.5,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
24,3.6,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
25,4.1,KS Williamson,LRPL Taylor,K Rabada,1,0,null,1,0,null,null
26,4.2,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
27,4.3,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
28,4.4,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
29,4.5,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
30,4.6,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
31,5.1,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
32,5.2,KS Williamson,LRPL Taylor,WD Parnell,3,0,null,3,0,null,null
33,5.3,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
34,5.4,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
35,5.5,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
36,5.6,LRPL Taylor,KS Williamson,WD Parnell,4,0,null,4,0,null,null
37,6.1,KS Williamson,LRPL Taylor,K Rabada,0,0,null,0,0,null,null
38,6.2,KS Williamson,LRPL Taylor,K Rabada,0,0,null,0,0,null,null
39,6.3,KS Williamson,LRPL Taylor,K Rabada,1,0,null,1,0,null,null
40,6.4,LRPL Taylor,KS Williamson,K Rabada,1,0,null,1,0,null,null
41,6.5,KS Williamson,LRPL Taylor,K Rabada,0,0,null,0,0,null,null
42,6.6,KS Williamson,LRPL Taylor,K Rabada,0,0,null,0,0,null,null
43,7.1,LRPL Taylor,KS Williamson,WD Parnell,1,0,null,1,0,null,null
44,7.2,KS Williamson,LRPL Taylor,WD Parnell,1,0,null,1,0,null,null
45,7.3,LRPL Taylor,KS Williamson,WD Parnell,1,0,null,1,0,null,null
46,7.4,KS Williamson,LRPL Taylor,WD Parnell,6,0,null,6,0,null,null
47,7.5,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
48,7.6,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
49,8.1,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
50,8.2,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
51,8.3,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
52,8.4,LRPL Taylor,KS Williamson,K Rabada,0,0,null,0,0,null,null
53,8.5,LRPL Taylor,KS Williamson,K Rabada,1,0,null,1,0,null,null
54,8.6,KS Williamson,LRPL Taylor,K Rabada,0,0,null,0,0,null,null
55,9.1,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
56,9.2,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
57,9.3,LRPL Taylor,KS Williamson,WD Parnell,1,0,null,1,0,null,null
58,9.4,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
59,9.5,KS Williamson,LRPL Taylor,WD Parnell,1,0,null,1,0,null,null
60,9.6,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
61,10.1,KS Williamson,LRPL Taylor,AL Phehlukwayo,0,0,null,0,0,null,null
62,10.2,KS Williamson,LRPL Taylor,AL Phehlukwayo,0,0,null,0,0,null,null
63,10.3,KS Williamson,LRPL Taylor,AL Phehlukwayo,1,0,null,1,0,null,null
64,10.4,LRPL Taylor,KS Williamson,AL Phehlukwayo,0,0,null,0,0,null,null
65,10.5,LRPL Taylor,KS Williamson,AL Phehlukwayo,0,0,null,0,0,null,null
66,10.6,LRPL Taylor,KS Williamson,AL Phehlukwayo,0,0,null,0,0,null,null
67,11.1,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
68,11.2,KS Williamson,LRPL Taylor,WD Parnell,0,0,null,0,0,null,null
69,11.3,KS Williamson,LRPL Taylor,WD Parnell,1,0,null,1,0,null,null
70,11.4,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
71,11.5,LRPL Taylor,KS Williamson,WD Parnell,4,0,null,4,0,null,null
72,11.6,LRPL Taylor,KS Williamson,WD Parnell,0,0,null,0,0,null,null
73,12.1,KS Williamson,LRPL Taylor,AL Phehlukwayo,0,0,null,0,0,null,null
74,12.2,KS Williamson,LRPL Taylor,AL Phehlukwayo,0,0,null,0,0,null,null
75,12.3,KS Williamson,LRPL Taylor,AL Phehlukwayo,1,0,null,1,0,null,null
76,12.4,LRPL Taylor,KS Williamson,AL Phehlukwayo,0,0,null,0,0,null,null
77,12.5,LRPL Taylor,KS Williamson,AL Phehlukwayo,1,0,null,1,0,null,null
78,12.6,KS Williamson,LRPL Taylor,AL Phehlukwayo,0,0,null,0,0,null,null
79,13.1,LRPL Taylor,KS Williamson,D Pretorius,1,0,null,1,0,null,null
80,13.2,KS Williamson,LRPL Taylor,D Pretorius,0,0,null,0,0,null,null
81,13.3,KS Williamson,LRPL Taylor,D Pretorius,0,0,null,0,0,null,null
82,13.4,KS Williamson,LRPL Taylor,D Pretorius,0,0,null,0,0,null,null
83,13.5,KS Williamson,LRPL Taylor,D Pretorius,0,0,null,0,0,null,null
84,13.6,KS Williamson,LRPL Taylor,D Pretorius,0,0,null,0,0,null,null
85,14.1,LRPL Taylor,KS Williamson,AL Phehlukwayo,0,0,null,0,0,null,null
86,14.2,LRPL Taylor,KS Williamson,AL Phehlukwayo,0,0,null,0,0,null,null
87,14.3,LRPL Taylor,KS Williamson,AL Phehlukwayo,0,0,null,0,0,null,null
88,14.4,LRPL Taylor,KS Williamson,AL Phehlukwayo,1,0,null,1,0,null,null
89,14.5,KS Williamson,LRPL Taylor,AL Phehlukwayo,0,0,null,0,1,KS Williamson,bowled
90,14.6,NT Broom,LRPL Taylor,AL Phehlukwayo,0,0,null,0,0,null,null
91,15.1,LRPL Taylor,NT Broom,D Pretorius,0,0,null,0,0,null,null
92,15.2,LRPL Taylor,NT Broom,D Pretorius,0,0,null,0,0,null,null
93,15.3,LRPL Taylor,NT Broom,D Pretorius,0,0,null,0,1,LRPL Taylor,lbw
94,15.4,JDS Neesham,NT Broom,D Pretorius,0,0,null,0,0,null,null
95,15.5,JDS Neesham,NT Broom,D Pretorius,0,0,null,0,0,null,null
96,15.6,JDS Neesham,NT Broom,D Pretorius,1,0,null,1,0,null,null
97,16.1,JDS Neesham,NT Broom,AL Phehlukwayo,0,1,wides ,1,0,null,null
98,16.2,JDS Neesham,NT Broom,AL Phehlukwayo,0,0,null,0,0,null,null
99,16.3,JDS Neesham,NT Broom,AL Phehlukwayo,0,0,null,0,0,null,null
100,16.4,JDS Neesham,NT Broom,AL Phehlukwayo,1,0,null,1,0,null,null
101,16.5,NT Broom,JDS Neesham,AL Phehlukwayo,0,0,null,0,0,null,null
102,16.6,NT Broom,JDS Neesham,AL Phehlukwayo,0,0,null,0,0,null,null
103,16.7,NT Broom,JDS Neesham,AL Phehlukwayo,0,0,null,0,1,NT Broom,caught
104,17.1,JDS Neesham,MJ Santner,D Pretorius,0,0,null,0,0,null,null
105,17.2,JDS Neesham,MJ Santner,D Pretorius,1,0,null,1,0,null,null
106,17.3,MJ Santner,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
107,17.4,MJ Santner,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
108,17.5,MJ Santner,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
109,17.6,MJ Santner,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
110,18.1,JDS Neesham,MJ Santner,AL Phehlukwayo,0,0,null,0,0,null,null
111,18.2,JDS Neesham,MJ Santner,AL Phehlukwayo,4,0,null,4,0,null,null
112,18.3,JDS Neesham,MJ Santner,AL Phehlukwayo,0,0,null,0,0,null,null
113,18.4,JDS Neesham,MJ Santner,AL Phehlukwayo,0,0,null,0,0,null,null
114,18.5,JDS Neesham,MJ Santner,AL Phehlukwayo,1,0,null,1,0,null,null
115,18.6,MJ Santner,JDS Neesham,AL Phehlukwayo,1,0,null,1,0,null,null
116,19.1,MJ Santner,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
117,19.2,MJ Santner,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
118,19.3,MJ Santner,JDS Neesham,D Pretorius,0,0,null,0,1,MJ Santner,bowled
119,19.4,C de Grandhomme,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
120,19.5,C de Grandhomme,JDS Neesham,D Pretorius,0,0,null,0,0,null,null
121,19.6,C de Grandhomme,JDS Neesham,D Pretorius,1,0,null,1,0,null,null
122,20.1,C de Grandhomme,JDS Neesham,K Rabada,0,0,null,0,0,null,null
123,20.2,C de Grandhomme,JDS Neesham,K Rabada,1,0,null,1,0,null,null
124,20.3,JDS Neesham,C de Grandhomme,K Rabada,0,0,null,0,0,null,null
125,20.4,JDS Neesham,C de Grandhomme,K Rabada,1,0,null,1,0,null,null
126,20.5,C de Grandhomme,JDS Neesham,K Rabada,0,0,null,0,0,null,null
127,20.6,C de Grandhomme,JDS Neesham,K Rabada,0,0,null,0,0,null,null
