,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JJ Roy,JM Bairstow,Mohammed Shami,0,1,legbyes ,1,0,null,null
1,0.2,JM Bairstow,JJ Roy,Mohammed Shami,0,0,null,0,0,null,null
2,0.3,JM Bairstow,JJ Roy,Mohammed Shami,0,0,null,0,0,null,null
3,0.4,JM Bairstow,JJ Roy,Mohammed Shami,0,1,wides ,1,0,null,null
4,0.5,JM Bairstow,JJ Roy,Mohammed Shami,0,0,null,0,0,null,null
5,0.6,JM Bairstow,JJ Roy,Mohammed Shami,4,0,null,4,0,null,null
6,0.7,JM Bairstow,JJ Roy,Mohammed Shami,0,0,null,0,0,null,null
7,1.1,JJ Roy,JM Bairstow,JJ Bumrah,0,0,null,0,0,null,null
8,1.2,JJ Roy,JM Bairstow,JJ Bumrah,0,0,null,0,0,null,null
9,1.3,JJ Roy,JM Bairstow,JJ Bumrah,0,0,null,0,0,null,null
10,1.4,JJ Roy,JM Bairstow,JJ Bumrah,0,0,null,0,1,JJ Roy,bowled
11,1.5,JE Root,JM Bairstow,JJ Bumrah,0,0,null,0,0,null,null
12,1.6,JE Root,JM Bairstow,JJ Bumrah,0,0,null,0,1,JE Root,caught
13,2.1,JM Bairstow,BA Stokes,Mohammed Shami,0,0,null,0,0,null,null
14,2.2,JM Bairstow,BA Stokes,Mohammed Shami,0,0,null,0,0,null,null
15,2.3,JM Bairstow,BA Stokes,Mohammed Shami,1,0,null,1,0,null,null
16,2.4,BA Stokes,JM Bairstow,Mohammed Shami,0,0,null,0,1,BA Stokes,caught
17,2.5,JC Buttler,JM Bairstow,Mohammed Shami,4,0,null,4,0,null,null
18,2.6,JC Buttler,JM Bairstow,Mohammed Shami,4,0,null,4,0,null,null
19,3.1,JM Bairstow,JC Buttler,JJ Bumrah,0,0,null,0,0,null,null
20,3.2,JM Bairstow,JC Buttler,JJ Bumrah,0,0,null,0,0,null,null
21,3.3,JM Bairstow,JC Buttler,JJ Bumrah,0,0,null,0,0,null,null
22,3.4,JM Bairstow,JC Buttler,JJ Bumrah,0,0,null,0,0,null,null
23,3.5,JM Bairstow,JC Buttler,JJ Bumrah,1,0,null,1,0,null,null
24,3.6,JC Buttler,JM Bairstow,JJ Bumrah,0,0,null,0,0,null,null
25,4.1,JM Bairstow,JC Buttler,Mohammed Shami,0,0,null,0,0,null,null
26,4.2,JM Bairstow,JC Buttler,Mohammed Shami,0,0,null,0,0,null,null
27,4.3,JM Bairstow,JC Buttler,Mohammed Shami,0,0,null,0,0,null,null
