,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,1,wides ,1,0,null,null
1,0.2,V Sibanda,CJ Chibhabha,Sohail Tanvir,2,0,null,2,0,null,null
2,0.3,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,1,wides ,1,0,null,null
3,0.4,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
4,0.5,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
5,0.6,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
6,0.7,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
7,0.8,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
8,1.1,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
9,1.2,CJ Chibhabha,V Sibanda,Sohail Khan,1,0,null,1,0,null,null
10,1.3,V Sibanda,CJ Chibhabha,Sohail Khan,0,0,null,0,0,null,null
11,1.4,V Sibanda,CJ Chibhabha,Sohail Khan,0,0,null,0,0,null,null
12,1.5,V Sibanda,CJ Chibhabha,Sohail Khan,0,0,null,0,0,null,null
13,1.6,V Sibanda,CJ Chibhabha,Sohail Khan,0,0,null,0,0,null,null
14,2.1,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
15,2.2,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
16,2.3,CJ Chibhabha,V Sibanda,Sohail Tanvir,1,0,null,1,0,null,null
17,2.4,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
18,2.5,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
19,2.6,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
20,3.1,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
21,3.2,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
22,3.3,CJ Chibhabha,V Sibanda,Sohail Khan,1,0,null,1,0,null,null
23,3.4,V Sibanda,CJ Chibhabha,Sohail Khan,1,0,null,1,0,null,null
24,3.5,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
25,3.6,CJ Chibhabha,V Sibanda,Sohail Khan,4,0,null,4,0,null,null
26,4.1,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
27,4.2,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
28,4.3,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
29,4.4,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
30,4.5,V Sibanda,CJ Chibhabha,Sohail Tanvir,1,0,null,1,0,null,null
31,4.6,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
32,5.1,V Sibanda,CJ Chibhabha,Sohail Khan,4,0,null,4,0,null,null
33,5.2,V Sibanda,CJ Chibhabha,Sohail Khan,1,0,null,1,0,null,null
34,5.3,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
35,5.4,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
36,5.5,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
37,5.6,CJ Chibhabha,V Sibanda,Sohail Khan,1,0,null,1,0,null,null
38,6.1,CJ Chibhabha,V Sibanda,Sohail Tanvir,1,0,null,1,0,null,null
39,6.2,V Sibanda,CJ Chibhabha,Sohail Tanvir,1,0,null,1,0,null,null
40,6.3,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
41,6.4,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
42,6.5,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,1,wides ,1,0,null,null
43,6.6,CJ Chibhabha,V Sibanda,Sohail Tanvir,1,0,null,1,0,null,null
44,6.7,V Sibanda,CJ Chibhabha,Sohail Tanvir,1,0,null,1,0,null,null
45,7.1,V Sibanda,CJ Chibhabha,Sohail Khan,0,0,null,0,0,null,null
46,7.2,V Sibanda,CJ Chibhabha,Sohail Khan,0,0,null,0,0,null,null
47,7.3,V Sibanda,CJ Chibhabha,Sohail Khan,1,0,null,1,0,null,null
48,7.4,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
49,7.5,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
50,7.6,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
51,8.1,V Sibanda,CJ Chibhabha,Sohail Tanvir,4,0,null,4,0,null,null
52,8.2,V Sibanda,CJ Chibhabha,Sohail Tanvir,4,0,null,4,0,null,null
53,8.3,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
54,8.4,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
55,8.5,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
56,8.6,V Sibanda,CJ Chibhabha,Sohail Tanvir,4,0,null,4,0,null,null
57,9.1,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
58,9.2,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
59,9.3,CJ Chibhabha,V Sibanda,Sohail Khan,0,0,null,0,0,null,null
60,9.4,CJ Chibhabha,V Sibanda,Sohail Khan,1,0,null,1,0,null,null
61,9.5,V Sibanda,CJ Chibhabha,Sohail Khan,1,0,null,1,0,null,null
62,9.6,CJ Chibhabha,V Sibanda,Sohail Khan,4,0,null,4,0,null,null
63,10.1,V Sibanda,CJ Chibhabha,Mohammad Hafeez,1,0,null,1,0,null,null
64,10.2,CJ Chibhabha,V Sibanda,Mohammad Hafeez,1,0,null,1,0,null,null
65,10.3,V Sibanda,CJ Chibhabha,Mohammad Hafeez,1,0,null,1,0,null,null
66,10.4,CJ Chibhabha,V Sibanda,Mohammad Hafeez,1,0,null,1,0,null,null
67,10.5,V Sibanda,CJ Chibhabha,Mohammad Hafeez,1,0,null,1,0,null,null
68,10.6,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
69,11.1,V Sibanda,CJ Chibhabha,Aizaz Cheema,2,0,null,2,0,null,null
70,11.2,V Sibanda,CJ Chibhabha,Aizaz Cheema,2,0,null,2,0,null,null
71,11.3,V Sibanda,CJ Chibhabha,Aizaz Cheema,1,0,null,1,0,null,null
72,11.4,CJ Chibhabha,V Sibanda,Aizaz Cheema,4,0,null,4,0,null,null
73,11.5,CJ Chibhabha,V Sibanda,Aizaz Cheema,1,0,null,1,0,null,null
74,11.6,V Sibanda,CJ Chibhabha,Aizaz Cheema,0,0,null,0,0,null,null
75,12.1,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
76,12.2,CJ Chibhabha,V Sibanda,Mohammad Hafeez,1,0,null,1,0,null,null
77,12.3,V Sibanda,CJ Chibhabha,Mohammad Hafeez,0,0,null,0,0,null,null
78,12.4,V Sibanda,CJ Chibhabha,Mohammad Hafeez,1,0,null,1,0,null,null
79,12.5,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
80,12.6,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
81,13.1,V Sibanda,CJ Chibhabha,Aizaz Cheema,1,0,null,1,0,null,null
82,13.2,CJ Chibhabha,V Sibanda,Aizaz Cheema,0,0,null,0,0,null,null
83,13.3,CJ Chibhabha,V Sibanda,Aizaz Cheema,0,0,null,0,0,null,null
84,13.4,CJ Chibhabha,V Sibanda,Aizaz Cheema,0,0,null,0,0,null,null
85,13.5,CJ Chibhabha,V Sibanda,Aizaz Cheema,4,0,null,4,0,null,null
86,13.6,CJ Chibhabha,V Sibanda,Aizaz Cheema,0,0,null,0,0,null,null
87,14.1,V Sibanda,CJ Chibhabha,Mohammad Hafeez,0,0,null,0,0,null,null
88,14.2,V Sibanda,CJ Chibhabha,Mohammad Hafeez,0,0,null,0,0,null,null
89,14.3,V Sibanda,CJ Chibhabha,Mohammad Hafeez,0,0,null,0,0,null,null
90,14.4,V Sibanda,CJ Chibhabha,Mohammad Hafeez,0,0,null,0,0,null,null
91,14.5,V Sibanda,CJ Chibhabha,Mohammad Hafeez,0,0,null,0,0,null,null
92,14.6,V Sibanda,CJ Chibhabha,Mohammad Hafeez,1,0,null,1,0,null,null
93,15.1,V Sibanda,CJ Chibhabha,Aizaz Cheema,0,0,null,0,0,null,null
94,15.2,V Sibanda,CJ Chibhabha,Aizaz Cheema,0,0,null,0,0,null,null
95,15.3,V Sibanda,CJ Chibhabha,Aizaz Cheema,1,0,null,1,0,null,null
96,15.4,CJ Chibhabha,V Sibanda,Aizaz Cheema,0,0,null,0,0,null,null
97,15.5,CJ Chibhabha,V Sibanda,Aizaz Cheema,1,0,null,1,0,null,null
98,15.6,V Sibanda,CJ Chibhabha,Aizaz Cheema,0,0,null,0,0,null,null
99,16.1,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
100,16.2,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
101,16.3,CJ Chibhabha,V Sibanda,Mohammad Hafeez,1,0,null,1,0,null,null
102,16.4,V Sibanda,CJ Chibhabha,Mohammad Hafeez,1,0,null,1,0,null,null
103,16.5,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
104,16.6,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
105,17.1,V Sibanda,CJ Chibhabha,Aizaz Cheema,0,0,null,0,0,null,null
106,17.2,V Sibanda,CJ Chibhabha,Aizaz Cheema,1,0,null,1,0,null,null
107,17.3,CJ Chibhabha,V Sibanda,Aizaz Cheema,0,0,null,0,0,null,null
108,17.4,CJ Chibhabha,V Sibanda,Aizaz Cheema,0,0,null,0,0,null,null
109,17.5,CJ Chibhabha,V Sibanda,Aizaz Cheema,1,0,null,1,0,null,null
110,17.6,V Sibanda,CJ Chibhabha,Aizaz Cheema,0,0,null,0,0,null,null
111,18.1,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
112,18.2,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
113,18.3,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
114,18.4,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
115,18.5,CJ Chibhabha,V Sibanda,Mohammad Hafeez,2,0,null,2,0,null,null
116,18.6,CJ Chibhabha,V Sibanda,Mohammad Hafeez,0,0,null,0,0,null,null
