,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sehwag,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
1,0.2,V Sehwag,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
2,0.3,V Sehwag,SR Tendulkar,NW Bracken,0,1,wides ,1,0,null,null
3,0.4,V Sehwag,SR Tendulkar,NW Bracken,0,0,null,0,1,V Sehwag,caught
4,0.5,VVS Laxman,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
5,0.6,VVS Laxman,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
6,0.7,VVS Laxman,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
7,1.1,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
8,1.2,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
9,1.3,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
10,1.4,SR Tendulkar,VVS Laxman,BA Williams,3,0,null,3,0,null,null
11,1.5,VVS Laxman,SR Tendulkar,BA Williams,0,0,null,0,0,null,null
12,1.6,VVS Laxman,SR Tendulkar,BA Williams,0,0,null,0,0,null,null
13,2.1,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
14,2.2,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
15,2.3,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
16,2.4,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
17,2.5,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
18,2.6,SR Tendulkar,VVS Laxman,NW Bracken,4,0,null,4,0,null,null
19,3.1,VVS Laxman,SR Tendulkar,BA Williams,0,0,null,0,0,null,null
20,3.2,VVS Laxman,SR Tendulkar,BA Williams,1,0,null,1,0,null,null
21,3.3,SR Tendulkar,VVS Laxman,BA Williams,1,0,null,1,0,null,null
22,3.4,VVS Laxman,SR Tendulkar,BA Williams,0,0,null,0,0,null,null
23,3.5,VVS Laxman,SR Tendulkar,BA Williams,0,0,null,0,0,null,null
24,3.6,VVS Laxman,SR Tendulkar,BA Williams,0,0,null,0,0,null,null
25,4.1,SR Tendulkar,VVS Laxman,NW Bracken,4,0,null,4,0,null,null
26,4.2,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
27,4.3,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
28,4.4,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
29,4.5,SR Tendulkar,VVS Laxman,NW Bracken,4,0,null,4,0,null,null
30,4.6,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
31,5.1,VVS Laxman,SR Tendulkar,BA Williams,1,0,null,1,0,null,null
32,5.2,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
33,5.3,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
34,5.4,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
35,5.5,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
36,5.6,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
37,6.1,VVS Laxman,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
38,6.2,VVS Laxman,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
39,6.3,VVS Laxman,SR Tendulkar,NW Bracken,0,0,null,0,0,null,null
40,6.4,VVS Laxman,SR Tendulkar,NW Bracken,1,0,null,1,0,null,null
41,6.5,SR Tendulkar,VVS Laxman,NW Bracken,4,0,null,4,0,null,null
42,6.6,SR Tendulkar,VVS Laxman,NW Bracken,0,0,null,0,0,null,null
43,7.1,VVS Laxman,SR Tendulkar,BA Williams,0,0,null,0,0,null,null
44,7.2,VVS Laxman,SR Tendulkar,BA Williams,0,1,legbyes ,1,0,null,null
45,7.3,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
46,7.4,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
47,7.5,SR Tendulkar,VVS Laxman,BA Williams,0,0,null,0,0,null,null
48,7.6,SR Tendulkar,VVS Laxman,BA Williams,2,0,null,2,0,null,null
49,8.1,VVS Laxman,SR Tendulkar,AJ Bichel,0,1,wides ,1,0,null,null
50,8.2,VVS Laxman,SR Tendulkar,AJ Bichel,0,0,null,0,0,null,null
51,8.3,VVS Laxman,SR Tendulkar,AJ Bichel,4,0,null,4,0,null,null
52,8.4,VVS Laxman,SR Tendulkar,AJ Bichel,2,0,null,2,0,null,null
53,8.5,VVS Laxman,SR Tendulkar,AJ Bichel,0,0,null,0,0,null,null
54,8.6,VVS Laxman,SR Tendulkar,AJ Bichel,0,0,null,0,0,null,null
