,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Imran Nazir,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
1,0.2,Imran Nazir,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
2,0.3,Imran Nazir,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
3,0.4,Imran Nazir,Kamran Akmal,SM Pollock,0,0,null,0,1,Imran Nazir,caught
4,0.5,Younis Khan,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
5,0.6,Younis Khan,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
6,1.1,Kamran Akmal,Younis Khan,M Ntini,0,0,null,0,0,null,null
7,1.2,Kamran Akmal,Younis Khan,M Ntini,1,0,null,1,0,null,null
8,1.3,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
9,1.4,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
10,1.5,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
11,1.6,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
12,2.1,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
13,2.2,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
14,2.3,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
15,2.4,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
16,2.5,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
17,2.6,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
18,3.1,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
19,3.2,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
20,3.3,Younis Khan,Kamran Akmal,M Ntini,1,0,null,1,0,null,null
21,3.4,Kamran Akmal,Younis Khan,M Ntini,0,0,null,0,0,null,null
22,3.5,Kamran Akmal,Younis Khan,M Ntini,1,0,null,1,0,null,null
23,3.6,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
24,4.1,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
25,4.2,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
26,4.3,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
27,4.4,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
28,4.5,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
29,4.6,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
30,5.1,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
31,5.2,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
32,5.3,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
33,5.4,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
34,5.5,Younis Khan,Kamran Akmal,M Ntini,1,0,null,1,0,null,null
