,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AN Cook,IR Bell,DW Steyn,0,0,null,0,0,null,null
1,0.2,AN Cook,IR Bell,DW Steyn,0,0,null,0,0,null,null
2,0.3,AN Cook,IR Bell,DW Steyn,4,0,null,4,0,null,null
3,0.4,AN Cook,IR Bell,DW Steyn,0,1,wides ,1,0,null,null
4,0.5,AN Cook,IR Bell,DW Steyn,0,0,null,0,0,null,null
5,0.6,AN Cook,IR Bell,DW Steyn,0,0,null,0,0,null,null
6,0.7,AN Cook,IR Bell,DW Steyn,0,0,null,0,0,null,null
7,1.1,IR Bell,AN Cook,RJ Peterson,1,0,null,1,0,null,null
8,1.2,AN Cook,IR Bell,RJ Peterson,0,0,null,0,0,null,null
9,1.3,AN Cook,IR Bell,RJ Peterson,0,0,null,0,0,null,null
10,1.4,AN Cook,IR Bell,RJ Peterson,0,0,null,0,0,null,null
11,1.5,AN Cook,IR Bell,RJ Peterson,4,0,null,4,0,null,null
12,1.6,AN Cook,IR Bell,RJ Peterson,0,0,null,0,0,null,null
13,2.1,IR Bell,AN Cook,DW Steyn,4,0,null,4,0,null,null
14,2.2,IR Bell,AN Cook,DW Steyn,0,0,null,0,0,null,null
15,2.3,IR Bell,AN Cook,DW Steyn,0,0,null,0,0,null,null
16,2.4,IR Bell,AN Cook,DW Steyn,1,0,null,1,0,null,null
17,2.5,AN Cook,IR Bell,DW Steyn,0,0,null,0,0,null,null
18,2.6,AN Cook,IR Bell,DW Steyn,4,0,null,4,0,null,null
19,3.1,IR Bell,AN Cook,RJ Peterson,0,0,null,0,0,null,null
20,3.2,IR Bell,AN Cook,RJ Peterson,0,0,null,0,0,null,null
21,3.3,IR Bell,AN Cook,RJ Peterson,0,0,null,0,0,null,null
22,3.4,IR Bell,AN Cook,RJ Peterson,4,0,null,4,0,null,null
23,3.5,IR Bell,AN Cook,RJ Peterson,0,0,null,0,0,null,null
24,3.6,IR Bell,AN Cook,RJ Peterson,0,0,null,0,1,IR Bell,lbw
25,4.1,AN Cook,RS Bopara,DW Steyn,1,0,null,1,0,null,null
26,4.2,RS Bopara,AN Cook,DW Steyn,0,0,null,0,0,null,null
27,4.3,RS Bopara,AN Cook,DW Steyn,0,0,null,0,1,RS Bopara,caught
28,4.4,JM Bairstow,AN Cook,DW Steyn,0,0,null,0,0,null,null
29,4.5,JM Bairstow,AN Cook,DW Steyn,0,0,null,0,0,null,null
30,4.6,JM Bairstow,AN Cook,DW Steyn,0,0,null,0,0,null,null
31,5.1,AN Cook,JM Bairstow,M Morkel,1,0,null,1,0,null,null
32,5.2,JM Bairstow,AN Cook,M Morkel,0,1,wides ,1,0,null,null
33,5.3,JM Bairstow,AN Cook,M Morkel,4,0,null,4,0,null,null
34,5.4,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
35,5.5,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
36,5.6,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
37,5.7,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
38,6.1,AN Cook,JM Bairstow,DW Steyn,0,0,null,0,0,null,null
39,6.2,AN Cook,JM Bairstow,DW Steyn,0,0,null,0,0,null,null
40,6.3,AN Cook,JM Bairstow,DW Steyn,0,0,null,0,0,null,null
41,6.4,AN Cook,JM Bairstow,DW Steyn,0,0,null,0,0,null,null
42,6.5,AN Cook,JM Bairstow,DW Steyn,0,0,null,0,0,null,null
43,6.6,AN Cook,JM Bairstow,DW Steyn,0,0,null,0,0,null,null
44,7.1,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
45,7.2,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
46,7.3,JM Bairstow,AN Cook,M Morkel,4,0,null,4,0,null,null
47,7.4,JM Bairstow,AN Cook,M Morkel,1,0,null,1,0,null,null
48,7.5,AN Cook,JM Bairstow,M Morkel,0,0,null,0,0,null,null
49,7.6,AN Cook,JM Bairstow,M Morkel,4,0,null,4,0,null,null
50,8.1,JM Bairstow,AN Cook,DW Steyn,1,0,null,1,0,null,null
51,8.2,AN Cook,JM Bairstow,DW Steyn,0,0,null,0,0,null,null
52,8.3,AN Cook,JM Bairstow,DW Steyn,1,0,null,1,0,null,null
53,8.4,JM Bairstow,AN Cook,DW Steyn,0,0,null,0,0,null,null
54,8.5,JM Bairstow,AN Cook,DW Steyn,0,0,null,0,0,null,null
55,8.6,JM Bairstow,AN Cook,DW Steyn,0,0,null,0,0,null,null
56,9.1,AN Cook,JM Bairstow,M Morkel,0,0,null,0,0,null,null
57,9.2,AN Cook,JM Bairstow,M Morkel,1,0,null,1,0,null,null
58,9.3,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
59,9.4,JM Bairstow,AN Cook,M Morkel,0,0,null,0,0,null,null
