,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,N Dickwella,MD Gunathilaka,B Kumar,0,0,null,0,0,null,null
1,0.2,N Dickwella,MD Gunathilaka,B Kumar,1,0,null,1,0,null,null
2,0.3,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
3,0.4,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
4,0.5,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
5,0.6,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
6,1.1,N Dickwella,MD Gunathilaka,HH Pandya,1,0,null,1,0,null,null
7,1.2,MD Gunathilaka,N Dickwella,HH Pandya,0,0,null,0,0,null,null
8,1.3,MD Gunathilaka,N Dickwella,HH Pandya,2,0,null,2,0,null,null
9,1.4,MD Gunathilaka,N Dickwella,HH Pandya,4,0,null,4,0,null,null
10,1.5,MD Gunathilaka,N Dickwella,HH Pandya,0,1,wides ,1,0,null,null
11,1.6,MD Gunathilaka,N Dickwella,HH Pandya,0,0,null,0,0,null,null
12,1.7,MD Gunathilaka,N Dickwella,HH Pandya,0,0,null,0,0,null,null
13,2.1,N Dickwella,MD Gunathilaka,B Kumar,0,0,null,0,0,null,null
14,2.2,N Dickwella,MD Gunathilaka,B Kumar,4,0,null,4,0,null,null
15,2.3,N Dickwella,MD Gunathilaka,B Kumar,0,0,null,0,0,null,null
16,2.4,N Dickwella,MD Gunathilaka,B Kumar,1,0,null,1,0,null,null
17,2.5,MD Gunathilaka,N Dickwella,B Kumar,4,0,null,4,0,null,null
18,2.6,MD Gunathilaka,N Dickwella,B Kumar,1,0,null,1,0,null,null
19,3.1,MD Gunathilaka,N Dickwella,HH Pandya,1,0,null,1,0,null,null
20,3.2,N Dickwella,MD Gunathilaka,HH Pandya,0,0,null,0,0,null,null
21,3.3,N Dickwella,MD Gunathilaka,HH Pandya,0,0,null,0,0,null,null
22,3.4,N Dickwella,MD Gunathilaka,HH Pandya,0,0,null,0,0,null,null
23,3.5,N Dickwella,MD Gunathilaka,HH Pandya,0,0,null,0,0,null,null
24,3.6,N Dickwella,MD Gunathilaka,HH Pandya,0,0,null,0,0,null,null
25,4.1,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
26,4.2,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
27,4.3,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
28,4.4,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
29,4.5,MD Gunathilaka,N Dickwella,B Kumar,0,0,null,0,0,null,null
30,4.6,MD Gunathilaka,N Dickwella,B Kumar,1,0,null,1,0,null,null
31,5.1,MD Gunathilaka,N Dickwella,HH Pandya,0,0,null,0,0,null,null
32,5.2,MD Gunathilaka,N Dickwella,HH Pandya,1,0,null,1,0,null,null
33,5.3,N Dickwella,MD Gunathilaka,HH Pandya,4,0,null,4,0,null,null
34,5.4,N Dickwella,MD Gunathilaka,HH Pandya,0,0,null,0,0,null,null
35,5.5,N Dickwella,MD Gunathilaka,HH Pandya,1,0,null,1,0,null,null
36,5.6,MD Gunathilaka,N Dickwella,HH Pandya,0,0,null,0,0,null,null
37,6.1,N Dickwella,MD Gunathilaka,B Kumar,0,0,null,0,0,null,null
38,6.2,N Dickwella,MD Gunathilaka,B Kumar,1,0,null,1,0,null,null
39,6.3,MD Gunathilaka,N Dickwella,B Kumar,1,0,null,1,0,null,null
40,6.4,N Dickwella,MD Gunathilaka,B Kumar,0,0,null,0,0,null,null
41,6.5,N Dickwella,MD Gunathilaka,B Kumar,1,0,null,1,0,null,null
42,6.6,MD Gunathilaka,N Dickwella,B Kumar,0,1,wides ,1,0,null,null
