,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AC Gilchrist,ML Hayden,S Sreesanth,2,0,null,2,0,null,null
1,0.2,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
2,0.3,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
3,0.4,AC Gilchrist,ML Hayden,S Sreesanth,4,0,null,4,0,null,null
4,0.5,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
5,0.6,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
6,1.1,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
7,1.2,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
8,1.3,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
9,1.4,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
10,1.5,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
11,1.6,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
12,2.1,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
13,2.2,AC Gilchrist,ML Hayden,S Sreesanth,4,0,null,4,0,null,null
14,2.3,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
15,2.4,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
16,2.5,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
17,2.6,AC Gilchrist,ML Hayden,S Sreesanth,4,0,null,4,0,null,null
18,3.1,ML Hayden,AC Gilchrist,I Sharma,2,0,null,2,0,null,null
19,3.2,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
20,3.3,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
21,3.4,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
22,3.5,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
23,3.6,ML Hayden,AC Gilchrist,I Sharma,0,1,wides ,1,0,null,null
24,3.7,ML Hayden,AC Gilchrist,I Sharma,0,0,null,0,0,null,null
25,4.1,AC Gilchrist,ML Hayden,MM Patel,1,0,null,1,0,null,null
26,4.2,ML Hayden,AC Gilchrist,MM Patel,0,0,null,0,0,null,null
27,4.3,ML Hayden,AC Gilchrist,MM Patel,0,0,null,0,0,null,null
28,4.4,ML Hayden,AC Gilchrist,MM Patel,6,0,null,6,0,null,null
29,4.5,ML Hayden,AC Gilchrist,MM Patel,0,0,null,0,0,null,null
30,4.6,ML Hayden,AC Gilchrist,MM Patel,0,0,null,0,0,null,null
31,5.1,AC Gilchrist,ML Hayden,I Sharma,0,0,null,0,0,null,null
32,5.2,AC Gilchrist,ML Hayden,I Sharma,0,1,noballs ,1,0,null,null
33,5.3,AC Gilchrist,ML Hayden,I Sharma,0,0,null,0,0,null,null
34,5.4,AC Gilchrist,ML Hayden,I Sharma,0,0,null,0,1,AC Gilchrist,bowled
35,5.5,RT Ponting,ML Hayden,I Sharma,0,0,null,0,0,null,null
36,5.6,RT Ponting,ML Hayden,I Sharma,1,0,null,1,0,null,null
37,5.7,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
38,6.1,RT Ponting,ML Hayden,MM Patel,0,0,null,0,0,null,null
39,6.2,RT Ponting,ML Hayden,MM Patel,0,0,null,0,0,null,null
40,6.3,RT Ponting,ML Hayden,MM Patel,0,0,null,0,0,null,null
41,6.4,RT Ponting,ML Hayden,MM Patel,4,0,null,4,0,null,null
42,6.5,RT Ponting,ML Hayden,MM Patel,0,0,null,0,0,null,null
43,6.6,RT Ponting,ML Hayden,MM Patel,0,0,null,0,0,null,null
44,7.1,ML Hayden,RT Ponting,I Sharma,1,0,null,1,0,null,null
45,7.2,RT Ponting,ML Hayden,I Sharma,2,0,null,2,0,null,null
46,7.3,RT Ponting,ML Hayden,I Sharma,1,0,null,1,0,null,null
47,7.4,ML Hayden,RT Ponting,I Sharma,0,1,wides ,1,0,null,null
48,7.5,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
49,7.6,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
50,7.7,ML Hayden,RT Ponting,I Sharma,1,0,null,1,0,null,null
51,8.1,ML Hayden,RT Ponting,MM Patel,1,0,null,1,0,null,null
52,8.2,RT Ponting,ML Hayden,MM Patel,1,0,null,1,0,null,null
53,8.3,ML Hayden,RT Ponting,MM Patel,0,0,null,0,0,null,null
54,8.4,ML Hayden,RT Ponting,MM Patel,0,0,null,0,0,null,null
55,8.5,ML Hayden,RT Ponting,MM Patel,1,0,null,1,0,null,null
56,8.6,RT Ponting,ML Hayden,MM Patel,0,0,null,0,0,null,null
57,9.1,ML Hayden,RT Ponting,I Sharma,1,0,null,1,0,null,null
58,9.2,RT Ponting,ML Hayden,I Sharma,1,0,null,1,0,null,null
59,9.3,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
60,9.4,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
61,9.5,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
62,9.6,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
63,10.1,RT Ponting,ML Hayden,MM Patel,0,0,null,0,1,RT Ponting,caught
64,10.2,MJ Clarke,ML Hayden,MM Patel,0,0,null,0,0,null,null
65,10.3,MJ Clarke,ML Hayden,MM Patel,0,0,null,0,0,null,null
66,10.4,MJ Clarke,ML Hayden,MM Patel,0,0,null,0,0,null,null
67,10.5,MJ Clarke,ML Hayden,MM Patel,0,0,null,0,0,null,null
68,10.6,MJ Clarke,ML Hayden,MM Patel,2,0,null,2,0,null,null
69,11.1,ML Hayden,MJ Clarke,IK Pathan,0,0,null,0,0,null,null
70,11.2,ML Hayden,MJ Clarke,IK Pathan,0,0,null,0,0,null,null
71,11.3,ML Hayden,MJ Clarke,IK Pathan,0,0,null,0,1,ML Hayden,caught
72,11.4,A Symonds,MJ Clarke,IK Pathan,1,0,null,1,0,null,null
73,11.5,MJ Clarke,A Symonds,IK Pathan,0,0,null,0,0,null,null
74,11.6,MJ Clarke,A Symonds,IK Pathan,1,0,null,1,0,null,null
75,12.1,MJ Clarke,A Symonds,MM Patel,0,0,null,0,0,null,null
76,12.2,MJ Clarke,A Symonds,MM Patel,0,0,null,0,0,null,null
77,12.3,MJ Clarke,A Symonds,MM Patel,0,0,null,0,0,null,null
78,12.4,MJ Clarke,A Symonds,MM Patel,0,0,null,0,0,null,null
79,12.5,MJ Clarke,A Symonds,MM Patel,0,0,null,0,0,null,null
80,12.6,MJ Clarke,A Symonds,MM Patel,0,0,null,0,0,null,null
81,13.1,A Symonds,MJ Clarke,IK Pathan,0,0,null,0,0,null,null
82,13.2,A Symonds,MJ Clarke,IK Pathan,0,0,null,0,0,null,null
