,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,S Chattergoon,S Sreesanth,0,0,null,0,0,null,null
1,0.2,CH Gayle,S Chattergoon,S Sreesanth,4,0,null,4,0,null,null
2,0.3,CH Gayle,S Chattergoon,S Sreesanth,0,0,null,0,0,null,null
3,0.4,CH Gayle,S Chattergoon,S Sreesanth,4,0,null,4,0,null,null
4,0.5,CH Gayle,S Chattergoon,S Sreesanth,0,0,null,0,0,null,null
5,0.6,CH Gayle,S Chattergoon,S Sreesanth,0,0,null,0,0,null,null
6,1.1,S Chattergoon,CH Gayle,AB Agarkar,0,0,null,0,1,S Chattergoon,bowled
7,1.2,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
8,1.3,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
9,1.4,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
10,1.5,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
11,1.6,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
12,2.1,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
13,2.2,CH Gayle,RR Sarwan,S Sreesanth,4,0,null,4,0,null,null
14,2.3,CH Gayle,RR Sarwan,S Sreesanth,4,0,null,4,0,null,null
15,2.4,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
16,2.5,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
17,2.6,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
18,3.1,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
19,3.2,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
20,3.3,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
21,3.4,RR Sarwan,CH Gayle,AB Agarkar,0,1,wides ,1,0,null,null
22,3.5,RR Sarwan,CH Gayle,AB Agarkar,0,1,wides ,1,0,null,null
23,3.6,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
24,3.7,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
25,3.8,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
26,4.1,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
27,4.2,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
28,4.3,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
29,4.4,CH Gayle,RR Sarwan,S Sreesanth,4,0,null,4,0,null,null
30,4.5,CH Gayle,RR Sarwan,S Sreesanth,0,1,wides ,1,0,null,null
31,4.6,CH Gayle,RR Sarwan,S Sreesanth,0,0,null,0,0,null,null
32,4.7,CH Gayle,RR Sarwan,S Sreesanth,4,0,null,4,0,null,null
33,5.1,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
34,5.2,RR Sarwan,CH Gayle,AB Agarkar,0,0,null,0,0,null,null
35,5.3,RR Sarwan,CH Gayle,AB Agarkar,1,0,null,1,0,null,null
36,5.4,CH Gayle,RR Sarwan,AB Agarkar,0,0,null,0,0,null,null
37,5.5,CH Gayle,RR Sarwan,AB Agarkar,4,0,null,4,0,null,null
38,5.6,CH Gayle,RR Sarwan,AB Agarkar,0,1,legbyes ,1,0,null,null
39,6.1,CH Gayle,RR Sarwan,MM Patel,0,0,null,0,0,null,null
40,6.2,CH Gayle,RR Sarwan,MM Patel,0,0,null,0,0,null,null
41,6.3,CH Gayle,RR Sarwan,MM Patel,0,0,null,0,0,null,null
42,6.4,CH Gayle,RR Sarwan,MM Patel,1,0,null,1,0,null,null
43,6.5,RR Sarwan,CH Gayle,MM Patel,0,0,null,0,0,null,null
44,6.6,RR Sarwan,CH Gayle,MM Patel,0,0,null,0,0,null,null
45,7.1,CH Gayle,RR Sarwan,AB Agarkar,0,1,wides ,1,0,null,null
