,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
1,0.2,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
2,0.3,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
3,0.4,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
4,0.5,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
5,0.6,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
6,1.1,Khalid Latif,Salman Butt,SE Bond,2,0,null,2,0,null,null
7,1.2,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
8,1.3,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
9,1.4,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
10,1.5,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
11,1.6,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
12,2.1,Salman Butt,Khalid Latif,KD Mills,1,0,null,1,0,null,null
13,2.2,Khalid Latif,Salman Butt,KD Mills,0,1,wides ,1,0,null,null
14,2.3,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
15,2.4,Khalid Latif,Salman Butt,KD Mills,3,0,null,3,0,null,null
16,2.5,Salman Butt,Khalid Latif,KD Mills,4,0,null,4,0,null,null
17,2.6,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
18,2.7,Salman Butt,Khalid Latif,KD Mills,0,0,null,0,0,null,null
19,3.1,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
20,3.2,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
21,3.3,Khalid Latif,Salman Butt,SE Bond,0,0,null,0,0,null,null
22,3.4,Khalid Latif,Salman Butt,SE Bond,1,0,null,1,0,null,null
23,3.5,Salman Butt,Khalid Latif,SE Bond,0,0,null,0,0,null,null
24,3.6,Salman Butt,Khalid Latif,SE Bond,0,0,null,0,0,null,null
25,4.1,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
26,4.2,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
27,4.3,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
28,4.4,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
29,4.5,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
30,4.6,Khalid Latif,Salman Butt,KD Mills,4,0,null,4,0,null,null
31,5.1,Salman Butt,Khalid Latif,SE Bond,0,0,null,0,0,null,null
32,5.2,Salman Butt,Khalid Latif,SE Bond,0,0,null,0,0,null,null
33,5.3,Salman Butt,Khalid Latif,SE Bond,0,0,null,0,0,null,null
34,5.4,Salman Butt,Khalid Latif,SE Bond,0,0,null,0,0,null,null
35,5.5,Salman Butt,Khalid Latif,SE Bond,4,0,null,4,0,null,null
36,5.6,Salman Butt,Khalid Latif,SE Bond,0,0,null,0,0,null,null
37,6.1,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
38,6.2,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
39,6.3,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
40,6.4,Khalid Latif,Salman Butt,KD Mills,0,0,null,0,0,null,null
